G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Arlington Baptist,W,107,54,41,66,0.621,11,23,0.478,14,21,0.667,13,38,26,13,6,11,20,Abilene Christian,18,49,0.367,5,12,0.417,13,18,0.722,4,17,5,2,0,22,0
2,11/9/18,,Arkansas State,W,94,73,31,55,0.564,8,14,0.571,24,31,0.774,11,38,17,8,0,18,27,Abilene Christian,26,59,0.441,6,17,0.353,15,24,0.625,9,26,13,6,2,16,23
3,11/15/18,@,Denver,W,67,61,22,49,0.449,10,24,0.417,13,16,0.813,5,26,16,5,5,9,15,Abilene Christian,25,51,0.49,9,15,0.6,2,11,0.182,9,31,11,1,4,15,18
4,11/22/18,N,Elon,W,72,56,29,56,0.518,11,18,0.611,3,6,0.5,8,27,19,4,1,6,21,Abilene Christian,18,40,0.45,7,20,0.35,13,19,0.684,5,24,15,3,2,11,15
5,11/23/18,@,Pacific,W,73,71,28,56,0.5,5,15,0.333,12,18,0.667,6,27,10,4,2,9,28,Abilene Christian,20,46,0.435,3,13,0.231,28,37,0.757,8,29,5,6,3,9,19
6,11/24/18,N,UC-Riverside,W,60,48,22,53,0.415,4,10,0.4,12,19,0.632,14,32,10,6,1,6,15,Abilene Christian,18,46,0.391,3,14,0.214,9,15,0.6,9,29,6,2,2,15,20
7,11/27/18,,Howard Payne,W,90,53,37,61,0.607,6,20,0.3,10,18,0.556,10,28,21,19,3,16,15,Abilene Christian,19,42,0.452,6,14,0.429,9,16,0.563,4,20,10,8,1,28,13
8,12/1/18,@,Pepperdine,L,62,77,25,62,0.403,4,18,0.222,8,13,0.615,8,29,13,9,1,11,24,Abilene Christian,22,46,0.478,8,18,0.444,25,30,0.833,5,33,16,6,2,15,16
9,12/4/18,,Campbell,W,83,68,27,48,0.563,7,14,0.5,22,26,0.846,3,18,11,14,0,10,23,Abilene Christian,22,45,0.489,3,14,0.214,21,28,0.75,9,30,6,4,2,22,19
10,12/8/18,,Schreiner,W,93,53,32,55,0.582,11,21,0.524,18,24,0.75,10,32,22,10,4,17,20,Abilene Christian,19,52,0.365,5,19,0.263,10,14,0.714,10,21,5,6,1,20,23
11,12/15/18,@,Texas Tech,L,48,82,15,53,0.283,5,21,0.238,13,22,0.591,8,25,9,4,3,7,25,Abilene Christian,30,54,0.556,7,22,0.318,15,21,0.714,5,36,14,5,2,10,21
12,12/21/18,@,Southeast Missouri State,W,70,68,23,50,0.46,4,15,0.267,20,28,0.714,5,28,12,9,5,14,16,Abilene Christian,24,49,0.49,11,24,0.458,9,13,0.692,1,26,14,4,3,23,27
13,12/29/18,,McMurry,W,88,40,35,74,0.473,8,25,0.32,10,16,0.625,22,53,22,14,3,14,9,Abilene Christian,15,55,0.273,5,23,0.217,5,6,0.833,7,25,4,10,3,22,16
14,1/2/19,,New Orleans,W,68,58,24,53,0.453,8,17,0.471,12,16,0.75,9,32,12,11,4,17,20,Abilene Christian,21,51,0.412,0,8,0,16,27,0.593,9,27,9,8,1,19,20
15,1/5/19,@,Sam Houston State,L,68,71,22,50,0.44,10,14,0.714,14,16,0.875,9,27,14,11,2,18,17,Abilene Christian,27,49,0.551,8,16,0.5,9,13,0.692,6,23,14,10,5,18,14
16,1/9/19,@,McNeese State,W,73,72,26,52,0.5,10,22,0.455,11,19,0.579,6,29,22,3,2,7,16,Abilene Christian,25,53,0.472,8,15,0.533,14,19,0.737,5,29,20,5,4,6,15
17,1/12/19,@,Southeastern Louisiana,W,75,72,27,56,0.482,6,13,0.462,15,20,0.75,8,25,10,7,3,8,26,Abilene Christian,19,50,0.38,3,8,0.375,31,33,0.939,10,33,7,3,5,13,17
18,1/16/19,,Houston Baptist,W,75,68,28,58,0.483,6,20,0.3,13,21,0.619,10,27,18,10,2,12,18,Abilene Christian,25,50,0.5,6,14,0.429,12,17,0.706,8,29,14,6,1,20,18
19,1/19/19,,Northwestern State,W,78,69,28,61,0.459,8,20,0.4,14,20,0.7,9,37,18,3,5,11,18,Abilene Christian,23,58,0.397,6,24,0.25,17,23,0.739,10,34,12,10,4,11,17
20,1/23/19,@,Stephen F. Austin,L,60,61,23,52,0.442,6,17,0.353,8,10,0.8,9,30,12,11,4,24,15,Abilene Christian,23,54,0.426,7,19,0.368,8,11,0.727,8,29,10,12,1,21,14
21,1/26/19,,Central Arkansas,W,79,56,28,60,0.467,6,20,0.3,17,24,0.708,10,35,18,10,6,12,21,Abilene Christian,15,50,0.3,4,20,0.2,22,30,0.733,8,31,7,7,3,20,16
