G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,South Alabama,W,101,58,38,74,0.514,18,38,0.474,7,14,0.5,19,40,24,9,8,13,21,Auburn,17,46,0.37,7,22,0.318,17,22,0.773,6,24,9,4,5,22,17
2,11/9/18,,Washington,W,88,66,29,70,0.414,12,31,0.387,18,23,0.783,17,39,16,8,4,11,20,Auburn,25,45,0.556,6,14,0.429,10,17,0.588,3,21,10,8,5,18,18
3,11/14/18,,Mississippi College,W,103,52,37,80,0.463,8,33,0.242,21,32,0.656,21,62,14,14,7,11,14,Auburn,18,66,0.273,8,30,0.267,8,16,0.5,8,33,10,2,0,18,23
4,11/19/18,N,Xavier,W (1 OT),88,79,30,66,0.455,11,35,0.314,17,24,0.708,12,32,16,10,7,12,23,Auburn,24,61,0.393,10,27,0.37,21,24,0.875,15,41,13,7,3,21,20
5,11/20/18,N,Duke,L,72,78,28,77,0.364,11,32,0.344,5,9,0.556,17,39,14,8,2,9,24,Auburn,24,54,0.444,7,25,0.28,23,34,0.676,13,44,12,6,11,12,13
6,11/21/18,N,Arizona,W,73,57,27,50,0.54,9,26,0.346,10,15,0.667,8,28,10,4,2,14,19,Auburn,20,47,0.426,10,25,0.4,7,9,0.778,5,21,9,3,0,19,22
7,11/28/18,,St. Peter's,W,99,49,36,75,0.48,15,31,0.484,12,20,0.6,15,41,25,16,8,13,17,Auburn,14,52,0.269,6,22,0.273,15,21,0.714,10,34,8,9,6,26,19
8,12/4/18,,UNC Asheville,W,67,41,23,48,0.479,9,25,0.36,12,18,0.667,7,30,19,13,12,19,16,Auburn,14,45,0.311,7,19,0.368,6,8,0.75,3,22,8,5,0,25,15
9,12/8/18,,Dayton,W,82,72,28,61,0.459,12,33,0.364,14,17,0.824,10,26,17,10,9,10,10,Auburn,27,56,0.482,11,23,0.478,7,10,0.7,13,35,16,3,2,23,14
10,12/15/18,N,Alabama-Birmingham,W (1 OT),75,71,22,57,0.386,4,22,0.182,27,34,0.794,13,38,10,2,7,10,16,Auburn,28,63,0.444,9,29,0.31,6,11,0.545,11,35,11,8,3,11,25
11,12/19/18,@,NC State,L,71,78,30,62,0.484,5,25,0.2,6,12,0.5,13,33,13,11,3,24,20,Auburn,28,53,0.528,10,22,0.455,12,23,0.522,5,26,13,7,1,21,15
12,12/22/18,,Murray State,W,93,88,34,64,0.531,13,33,0.394,12,20,0.6,12,29,19,10,5,14,19,Auburn,29,58,0.5,11,25,0.44,19,24,0.792,14,34,18,9,2,17,18
13,12/29/18,,North Florida,W,95,49,34,72,0.472,9,26,0.346,18,27,0.667,17,35,23,20,7,13,16,Auburn,18,50,0.36,6,26,0.231,7,9,0.778,7,26,10,3,5,33,20
14,1/9/19,@,Ole Miss,L,67,82,22,67,0.328,14,39,0.359,9,17,0.529,11,32,11,6,6,15,23,Auburn,24,53,0.453,7,19,0.368,27,37,0.73,8,37,13,11,2,17,15
15,1/12/19,,Georgia,W,93,78,34,68,0.5,12,25,0.48,13,17,0.765,11,31,16,9,4,12,20,Auburn,26,58,0.448,11,29,0.379,15,20,0.75,7,27,17,8,8,16,18
16,1/16/19,@,Texas A&M,W,85,66,32,76,0.421,13,34,0.382,8,10,0.8,19,48,16,10,7,10,21,Auburn,19,50,0.38,7,24,0.292,21,30,0.7,6,29,7,5,5,15,16
17,1/19/19,,Kentucky,L,80,82,26,56,0.464,13,30,0.433,15,20,0.75,7,24,17,5,4,11,25,Auburn,26,48,0.542,6,15,0.4,24,33,0.727,8,32,14,7,2,13,20
18,1/22/19,@,South Carolina,L,77,80,25,61,0.41,7,25,0.28,20,26,0.769,9,30,9,7,4,12,22,Auburn,30,64,0.469,6,18,0.333,14,22,0.636,12,34,16,4,8,11,21
19,1/26/19,@,Mississippi State,L,84,92,26,49,0.531,11,21,0.524,21,23,0.913,6,25,12,7,3,19,19,Auburn,28,55,0.509,13,30,0.433,23,34,0.676,10,28,20,11,5,13,21
20,1/30/19,,Missouri,W,92,58,33,69,0.478,16,41,0.39,10,16,0.625,10,38,20,5,5,9,20,Auburn,21,56,0.375,7,24,0.292,9,15,0.6,9,35,7,5,3,20,20
21,2/2/19,,Alabama,W,84,63,30,58,0.517,13,22,0.591,11,14,0.786,8,28,15,13,3,13,18,Auburn,21,47,0.447,8,19,0.421,13,18,0.722,7,26,12,4,3,21,16
22,2/5/19,,Florida,W,76,62,25,52,0.481,9,25,0.36,17,27,0.63,10,28,14,8,2,10,16,Auburn,23,50,0.46,4,20,0.2,12,12,1,5,25,9,3,2,17,22
23,2/9/19,@,LSU,L,78,83,27,56,0.482,16,38,0.421,8,13,0.615,7,33,10,7,3,19,23,Auburn,28,72,0.389,9,27,0.333,18,26,0.692,19,44,15,12,1,10,13
24,2/13/19,,Ole Miss,L,55,60,16,49,0.327,5,20,0.25,18,23,0.783,10,32,7,6,4,14,16,Auburn,19,51,0.373,13,33,0.394,9,13,0.692,8,31,12,8,2,13,20
25,2/16/19,@,Vanderbilt,W,64,53,17,49,0.347,9,25,0.36,21,29,0.724,6,24,9,10,4,7,18,Auburn,16,48,0.333,5,23,0.217,16,21,0.762,12,41,8,1,4,16,20
26,2/20/19,,Arkansas,W,79,56,26,54,0.481,17,33,0.515,10,20,0.5,8,37,16,11,6,20,24,Auburn,19,58,0.328,4,26,0.154,14,24,0.583,10,30,9,10,3,14,13
27,2/23/19,@,Kentucky,L,53,80,19,58,0.328,8,27,0.296,7,11,0.636,5,21,8,6,1,9,12,Auburn,30,55,0.545,11,24,0.458,9,12,0.75,8,42,15,5,7,10,10
