G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Texas Southern,L,69,72,30,67,0.448,6,19,0.316,3,11,0.273,21,40,12,6,5,19,23,Baylor,25,52,0.481,9,21,0.429,13,21,0.619,11,34,18,5,4,18,17
2,11/10/18,,Southern,W,80,53,28,63,0.444,9,27,0.333,15,21,0.714,14,38,19,8,7,9,20,Baylor,17,46,0.37,4,12,0.333,15,21,0.714,4,24,7,4,2,20,22
3,11/12/18,,Prairie View,W,91,80,31,51,0.608,11,23,0.478,18,27,0.667,4,28,17,4,11,16,20,Baylor,28,61,0.459,11,22,0.5,13,25,0.52,11,25,14,8,1,11,22
4,11/16/18,,Nicholls State,W,81,54,29,63,0.46,10,29,0.345,13,22,0.591,12,35,17,5,6,8,17,Baylor,18,55,0.327,4,26,0.154,14,18,0.778,8,29,7,4,4,13,20
5,11/23/18,N,Ole Miss,L,70,78,25,54,0.463,2,18,0.111,18,22,0.818,6,25,11,7,3,18,27,Baylor,22,56,0.393,5,20,0.25,29,36,0.806,9,33,14,8,4,13,21
6,11/24/18,N,George Mason,W,72,61,21,54,0.389,6,26,0.231,24,29,0.828,8,31,9,6,5,13,25,Baylor,18,49,0.367,2,14,0.143,23,31,0.742,4,20,5,4,2,14,23
7,11/27/18,,South Dakota,W,63,57,23,57,0.404,8,22,0.364,9,19,0.474,11,40,11,3,12,8,14,Baylor,22,63,0.349,5,23,0.217,8,11,0.727,13,42,9,5,4,8,19
8,12/1/18,@,Wichita State,L,63,71,23,62,0.371,4,22,0.182,13,16,0.813,12,34,5,4,6,13,18,Baylor,26,66,0.394,10,32,0.313,9,17,0.529,12,40,13,6,3,14,17
9,12/15/18,@,Arizona,W,58,49,22,50,0.44,4,19,0.211,10,20,0.5,18,46,10,7,3,20,17,Baylor,19,53,0.358,9,28,0.321,2,6,0.333,1,14,15,7,3,10,21
10,12/18/18,,Stephen F. Austin,L,58,59,21,55,0.382,4,24,0.167,12,21,0.571,13,36,11,14,5,17,16,Baylor,22,52,0.423,7,17,0.412,8,14,0.571,6,30,10,10,5,19,19
