G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/10/18,,Illinois State,W,100,89,37,71,0.521,14,34,0.412,12,17,0.706,9,38,26,5,5,10,9,Belmont,35,72,0.486,13,31,0.419,6,7,0.857,7,31,19,5,7,11,17
2,11/12/18,,Middle Tennessee,W,92,73,35,65,0.538,6,19,0.316,16,24,0.667,6,31,21,10,6,13,16,Belmont,27,65,0.415,5,18,0.278,14,19,0.737,13,40,10,7,4,21,20
3,11/15/18,@,Lipscomb,W,87,83,34,62,0.548,9,22,0.409,10,16,0.625,5,36,19,6,8,20,23,Belmont,28,63,0.444,8,21,0.381,19,26,0.731,4,28,16,10,3,14,18
4,11/20/18,,Trevecca Nazarene,W,104,50,37,64,0.578,14,32,0.438,16,20,0.8,8,46,28,12,3,13,11,Belmont,17,58,0.293,10,36,0.278,6,6,1,2,20,12,4,0,20,16
5,11/24/18,@,Kennesaw State,W,91,53,35,69,0.507,9,21,0.429,12,16,0.75,13,51,15,8,9,12,15,Belmont,21,67,0.313,2,9,0.222,9,18,0.5,7,30,5,7,4,10,14
6,11/29/18,@,Samford,W (1 OT),99,93,36,80,0.45,12,33,0.364,15,26,0.577,14,45,21,10,3,10,20,Belmont,36,81,0.444,6,23,0.261,15,23,0.652,14,43,16,5,5,12,17
7,12/1/18,@,Green Bay,L,92,100,37,84,0.44,6,31,0.194,12,16,0.75,16,43,18,10,4,12,20,Belmont,34,67,0.507,11,23,0.478,21,27,0.778,7,36,20,5,6,13,16
8,12/4/18,,Lipscomb,W,76,74,30,68,0.441,12,30,0.4,4,6,0.667,4,34,21,7,7,11,14,Belmont,28,68,0.412,7,26,0.269,11,14,0.786,8,39,11,5,4,13,13
9,12/15/18,@,UCLA,W,74,72,27,68,0.397,11,32,0.344,9,14,0.643,11,41,19,6,3,11,20,Belmont,26,61,0.426,8,28,0.286,12,28,0.429,12,42,12,5,5,13,15
10,12/19/18,,Western Kentucky,W,80,74,30,63,0.476,11,25,0.44,9,12,0.75,2,28,20,11,3,12,15,Belmont,26,59,0.441,3,15,0.2,19,20,0.95,8,38,11,9,5,16,13
11,12/29/18,@,Purdue,L,62,73,24,66,0.364,11,38,0.289,3,4,0.75,8,29,12,8,3,9,18,Belmont,24,55,0.436,7,22,0.318,18,24,0.75,9,40,9,5,5,10,9
