G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/7/18,,Ohio State,L,56,64,17,62,0.274,6,26,0.231,16,21,0.762,12,31,12,4,7,10,19,Cincinnati,20,47,0.426,8,20,0.4,16,22,0.727,6,27,7,2,5,13,22
2,11/13/18,,North Carolina Central,W,73,51,31,53,0.585,5,14,0.357,6,12,0.5,6,26,19,8,8,11,13,Cincinnati,17,47,0.362,8,17,0.471,9,12,0.75,8,23,12,4,1,14,18
3,11/16/18,,Milwaukee,W,74,63,29,58,0.5,4,19,0.211,12,20,0.6,12,36,16,7,3,8,7,Cincinnati,25,56,0.446,9,23,0.391,4,7,0.571,5,23,11,2,0,11,19
4,11/19/18,,Western Michigan,W,78,52,30,64,0.469,5,13,0.385,13,17,0.765,12,40,19,10,4,11,21,Cincinnati,15,45,0.333,6,20,0.3,16,31,0.516,5,24,8,4,2,17,18
5,11/23/18,N,George Mason,W,71,55,27,53,0.509,2,7,0.286,15,21,0.714,5,28,7,9,3,13,14,Cincinnati,22,50,0.44,7,23,0.304,4,11,0.364,3,15,12,8,3,16,19
6,11/24/18,N,Ole Miss,W,71,57,20,50,0.4,6,14,0.429,25,35,0.714,8,30,9,4,6,7,17,Cincinnati,19,51,0.373,3,21,0.143,16,17,0.941,6,24,3,3,6,11,26
7,11/27/18,,Arkansas-Pine Bluff,W,105,49,41,64,0.641,11,19,0.579,12,18,0.667,8,30,19,13,6,14,17,Cincinnati,16,50,0.32,4,21,0.19,13,17,0.765,9,25,11,7,0,29,19
8,12/1/18,@,UNLV,W,65,61,24,49,0.49,6,12,0.5,11,16,0.688,8,30,14,7,4,16,23,Cincinnati,18,51,0.353,7,24,0.292,18,29,0.621,14,34,8,6,4,12,17
9,12/4/18,,Northern Kentucky,W,78,65,24,52,0.462,4,13,0.308,26,33,0.788,13,37,15,6,5,10,12,Cincinnati,24,60,0.4,11,25,0.44,6,15,0.4,12,26,11,5,3,13,22
10,12/8/18,,Xavier,W,62,47,24,59,0.407,5,18,0.278,9,13,0.692,12,33,16,4,4,5,14,Cincinnati,18,51,0.353,5,25,0.2,6,9,0.667,7,27,8,3,2,10,14
11,12/15/18,@,Mississippi State,L,59,70,19,51,0.373,3,14,0.214,18,24,0.75,10,27,9,6,5,13,21,Cincinnati,22,48,0.458,12,23,0.522,14,23,0.609,10,31,16,5,5,13,18
12,12/19/18,,UCLA,W,93,64,33,63,0.524,12,21,0.571,15,20,0.75,8,35,24,7,4,4,17,Cincinnati,21,52,0.404,9,26,0.346,13,18,0.722,5,24,16,1,5,13,19
13,12/22/18,,South Carolina State,W,77,56,26,63,0.413,9,30,0.3,16,21,0.762,15,44,18,7,2,13,17,Cincinnati,18,52,0.346,6,21,0.286,14,19,0.737,6,27,13,6,1,13,16
14,1/2/19,,Tulane,W,93,61,32,67,0.478,10,21,0.476,19,23,0.826,12,34,20,5,8,5,17,Cincinnati,21,57,0.368,9,22,0.409,10,14,0.714,9,25,14,1,3,12,16
15,1/5/19,@,East Carolina,L,71,73,30,62,0.484,3,19,0.158,8,18,0.444,14,33,11,6,7,13,21,Cincinnati,24,47,0.511,9,22,0.409,16,23,0.696,5,25,11,7,4,11,16
16,1/10/19,@,Tulsa,W (1 OT),70,65,27,65,0.415,9,31,0.29,7,9,0.778,8,30,13,15,4,11,19,Cincinnati,19,46,0.413,14,23,0.609,13,21,0.619,5,33,17,4,2,21,16
17,1/12/19,,UConn,W (1 OT),74,72,22,52,0.423,5,17,0.294,25,38,0.658,5,27,15,8,3,9,17,Cincinnati,24,58,0.414,11,27,0.407,13,16,0.813,10,37,11,4,4,15,28
18,1/15/19,,South Florida,W,82,74,23,51,0.451,7,18,0.389,29,32,0.906,7,21,14,12,9,10,19,Cincinnati,23,49,0.469,6,18,0.333,22,26,0.846,9,21,13,4,2,20,26
19,1/19/19,@,Wichita State,W,66,55,18,46,0.391,5,14,0.357,25,35,0.714,10,32,5,1,6,12,14,Cincinnati,21,52,0.404,8,21,0.381,5,7,0.714,6,21,11,4,1,13,25
20,1/24/19,,Tulsa,W,88,64,32,65,0.492,14,29,0.483,10,20,0.5,12,40,20,4,3,6,15,Cincinnati,24,54,0.444,8,23,0.348,8,19,0.421,6,25,15,4,2,10,15
21,1/27/19,@,Temple,W,72,68,22,55,0.4,3,18,0.167,25,37,0.676,16,46,8,5,3,8,20,Cincinnati,20,48,0.417,9,24,0.375,19,31,0.613,3,20,10,4,0,8,25
22,2/2/19,,SMU,W,73,68,26,54,0.481,10,26,0.385,11,18,0.611,9,33,16,2,1,11,10,Cincinnati,26,60,0.433,10,28,0.357,6,11,0.545,8,27,12,3,3,9,17
23,2/7/19,@,Memphis,W,69,64,23,58,0.397,11,29,0.379,12,22,0.545,14,37,17,6,3,9,15,Cincinnati,25,56,0.446,10,29,0.345,4,8,0.5,7,30,15,5,8,13,21
24,2/10/19,@,Houston,L,58,65,22,66,0.333,8,21,0.381,6,11,0.545,13,29,6,9,2,4,13,Cincinnati,26,53,0.491,7,21,0.333,6,10,0.6,13,40,11,3,9,11,17
25,2/17/19,,Wichita State,W,72,62,20,58,0.345,10,22,0.455,22,28,0.786,9,40,14,6,8,9,15,Cincinnati,19,71,0.268,9,35,0.257,15,16,0.938,16,48,8,1,6,11,20
