G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,N,Kentucky,W,118,84,43,79,0.544,12,26,0.462,20,29,0.69,13,38,22,10,3,4,26,Duke,26,59,0.441,4,17,0.235,28,38,0.737,9,33,17,1,5,15,25
2,11/11/18,,Army,W,94,72,35,72,0.486,15,36,0.417,9,13,0.692,12,47,24,8,9,11,11,Duke,28,78,0.359,12,31,0.387,4,7,0.571,8,35,22,4,1,10,17
3,11/14/18,,Eastern Michigan,W,84,46,36,77,0.468,5,24,0.208,7,16,0.438,21,52,23,14,11,11,8,Duke,21,68,0.309,3,18,0.167,1,3,0.333,14,35,9,10,5,17,16
4,11/19/18,N,San Diego State,W,90,64,29,57,0.509,10,25,0.4,22,34,0.647,13,41,12,7,4,15,25,Duke,19,53,0.358,6,21,0.286,20,27,0.741,6,28,8,7,3,13,23
5,11/20/18,N,Auburn,W,78,72,24,54,0.444,7,25,0.28,23,34,0.676,13,44,12,6,11,12,13,Duke,28,77,0.364,11,32,0.344,5,9,0.556,17,39,14,8,2,9,24
6,11/21/18,N,Gonzaga,L,87,89,31,72,0.431,5,13,0.385,20,26,0.769,17,39,9,5,6,10,18,Duke,34,65,0.523,10,19,0.526,11,19,0.579,11,31,16,5,10,9,20
7,11/27/18,,Indiana,W,90,69,33,63,0.524,7,20,0.35,17,29,0.586,11,35,16,11,10,14,24,Duke,25,64,0.391,5,16,0.313,14,25,0.56,12,33,13,5,5,20,20
8,12/1/18,,Stetson,W,113,49,45,78,0.577,12,34,0.353,11,18,0.611,19,51,29,19,5,17,14,Duke,20,62,0.323,2,23,0.087,7,13,0.538,12,28,11,6,4,26,14
9,12/5/18,,Hartford,W,84,54,35,69,0.507,5,26,0.192,9,13,0.692,14,43,18,15,10,13,13,Duke,20,61,0.328,8,27,0.296,6,9,0.667,9,29,13,9,1,21,14
10,12/8/18,,Yale,W,91,58,33,67,0.493,5,21,0.238,20,31,0.645,13,44,20,16,6,15,14,Duke,23,65,0.354,3,23,0.13,9,11,0.818,9,37,14,9,2,23,23
