G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,@,Florida State,L,60,81,20,54,0.37,6,24,0.25,14,21,0.667,7,27,9,5,3,16,26,Florida,23,48,0.479,11,23,0.478,24,34,0.706,6,28,10,9,2,16,22
2,11/9/18,,Charleston Southern,W,76,46,26,56,0.464,8,28,0.286,16,22,0.727,4,36,14,12,5,7,19,Florida,14,55,0.255,5,28,0.179,13,19,0.684,7,32,6,2,1,18,19
3,11/14/18,,La Salle,W,82,69,30,54,0.556,3,13,0.231,19,26,0.731,7,24,14,9,1,12,15,Florida,25,53,0.472,8,24,0.333,11,18,0.611,8,26,10,9,1,17,22
4,11/21/18,N,Oklahoma,L,60,65,23,59,0.39,11,28,0.393,3,11,0.273,5,30,15,9,6,10,14,Florida,25,64,0.391,4,18,0.222,11,15,0.733,14,45,13,6,8,14,13
5,11/22/18,N,Stanford,W,72,49,29,56,0.518,7,15,0.467,7,10,0.7,7,30,10,15,3,9,17,Florida,16,43,0.372,8,22,0.364,9,12,0.75,4,22,10,2,2,19,11
6,11/23/18,N,Butler,L,54,61,18,52,0.346,8,27,0.296,10,16,0.625,9,27,11,2,4,7,14,Florida,21,48,0.438,7,20,0.35,12,17,0.706,5,31,11,3,2,8,17
7,11/27/18,,North Florida,W,98,66,39,69,0.565,16,28,0.571,4,6,0.667,13,40,26,11,6,11,17,Florida,24,58,0.414,9,26,0.346,9,11,0.818,9,23,15,5,0,15,8
8,12/4/18,N,West Virginia,W,66,56,16,48,0.333,6,21,0.286,28,46,0.609,8,37,12,13,7,15,22,Florida,19,64,0.297,7,23,0.304,11,20,0.55,12,42,9,8,3,21,30
9,12/8/18,,Michigan State,L,59,63,23,63,0.365,6,24,0.25,7,12,0.583,14,29,7,7,3,9,12,Florida,26,51,0.51,4,15,0.267,7,8,0.875,8,32,14,5,3,13,11
10,12/18/18,,Mercer,W,71,63,24,57,0.421,12,33,0.364,11,15,0.733,8,34,16,4,7,11,13,Florida,23,57,0.404,7,23,0.304,10,15,0.667,8,30,8,6,2,12,18
11,12/22/18,N,Florida Gulf Coast,W,77,56,28,63,0.444,11,30,0.367,10,14,0.714,12,31,17,7,5,11,23,Florida,18,45,0.4,2,14,0.143,18,27,0.667,7,29,10,7,3,19,16
12,12/29/18,,Butler,W,77,43,30,56,0.536,10,21,0.476,7,11,0.636,12,43,12,6,6,12,14,Florida,15,49,0.306,5,24,0.208,8,13,0.615,2,14,7,7,2,10,10
13,1/5/19,,South Carolina,L,69,71,23,61,0.377,9,31,0.29,14,20,0.7,10,30,12,11,4,15,25,Florida,23,51,0.451,7,18,0.389,18,25,0.72,11,32,11,9,4,21,23
14,1/9/19,@,Arkansas,W,57,51,18,58,0.31,6,26,0.231,15,19,0.789,8,35,9,4,2,10,24,Florida,15,50,0.3,6,26,0.231,15,26,0.577,7,35,10,5,5,15,20
