G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,ETSU,W,74,68,22,57,0.386,9,24,0.375,21,29,0.724,14,38,9,7,10,13,18,Georgia State,26,74,0.351,4,23,0.174,12,18,0.667,23,44,12,5,4,13,24
2,11/9/18,@,Montana,L,74,81,28,72,0.389,6,19,0.316,12,24,0.5,18,42,8,11,5,12,31,Georgia State,24,55,0.436,5,25,0.2,28,43,0.651,8,35,13,6,5,14,20
3,11/13/18,,Mercer,W,62,60,23,54,0.426,15,35,0.429,1,6,0.167,6,28,13,7,5,14,15,Georgia State,23,58,0.397,7,26,0.269,7,10,0.7,9,35,14,3,1,13,14
4,11/19/18,N,St. Bonaventure,W,75,65,30,59,0.508,6,17,0.353,9,12,0.75,8,33,15,13,7,12,16,Georgia State,21,58,0.362,12,27,0.444,11,18,0.611,12,33,11,4,5,17,14
5,11/20/18,N,Creighton,L,68,93,24,61,0.393,4,19,0.211,16,27,0.593,11,34,8,6,3,17,16,Georgia State,36,66,0.545,14,32,0.438,7,13,0.538,9,35,22,6,6,14,21
6,11/21/18,N,Georgia,W,91,67,34,61,0.557,14,25,0.56,9,16,0.563,4,22,19,7,2,8,16,Georgia State,25,53,0.472,5,18,0.278,12,17,0.706,8,32,13,5,4,17,14
7,11/28/18,@,Tulane,W,80,76,27,58,0.466,12,28,0.429,14,22,0.636,9,29,13,8,8,11,15,Georgia State,28,58,0.483,10,25,0.4,10,13,0.769,6,25,18,4,3,15,20
8,12/1/18,@,Liberty,L,52,78,20,50,0.4,2,16,0.125,10,19,0.526,6,19,7,9,3,10,15,Georgia State,27,52,0.519,13,25,0.52,11,14,0.786,9,36,17,6,1,15,16
9,12/4/18,@,Alabama,W,83,80,30,66,0.455,8,23,0.348,15,20,0.75,4,29,10,6,1,9,23,Georgia State,26,56,0.464,10,28,0.357,18,31,0.581,8,40,10,5,8,10,18
10,12/12/18,,Chattanooga,W,95,88,30,52,0.577,10,23,0.435,25,35,0.714,5,31,17,6,5,10,21,Georgia State,31,70,0.443,17,44,0.386,9,14,0.643,11,32,17,2,1,14,24
11,12/15/18,@,Kansas State,L,59,71,22,51,0.431,8,31,0.258,7,9,0.778,3,23,9,13,5,17,12,Georgia State,25,53,0.472,12,26,0.462,9,12,0.75,6,31,23,10,0,19,13
12,12/19/18,,UNC Wilmington,W,86,71,31,56,0.554,14,27,0.519,10,13,0.769,4,18,16,12,3,11,15,Georgia State,25,53,0.472,14,30,0.467,7,12,0.583,9,29,17,8,3,21,14
13,12/29/18,,Middle Georgia State,W,117,69,41,72,0.569,16,34,0.471,19,22,0.864,11,37,22,12,7,7,14,Georgia State,24,70,0.343,7,21,0.333,14,18,0.778,18,37,13,3,2,20,16
14,1/3/19,@,Texas-Arlington,W,63,58,16,39,0.41,8,21,0.381,23,38,0.605,3,24,9,9,5,18,24,Georgia State,20,56,0.357,2,25,0.08,16,22,0.727,11,36,12,4,1,15,24
15,1/5/19,@,Texas State,W,73,69,23,50,0.46,9,25,0.36,18,23,0.783,6,37,11,4,7,15,22,Georgia State,24,64,0.375,6,25,0.24,15,29,0.517,16,39,12,8,0,10,20
16,1/10/19,,Louisiana,W,89,76,31,59,0.525,13,25,0.52,14,24,0.583,8,31,16,11,3,12,16,Georgia State,27,66,0.409,8,31,0.258,14,17,0.824,16,39,18,7,4,15,21
17,1/12/19,,Louisiana-Monroe,W,74,73,29,65,0.446,9,28,0.321,7,12,0.583,7,28,10,10,1,11,15,Georgia State,22,57,0.386,8,31,0.258,21,23,0.913,12,42,12,8,2,16,13
18,1/17/19,@,South Alabama,W,69,66,23,59,0.39,8,20,0.4,15,27,0.556,10,43,9,2,6,13,23,Georgia State,24,59,0.407,10,32,0.313,8,19,0.421,5,34,18,1,5,10,19
19,1/19/19,@,Troy,L,75,77,29,59,0.492,12,30,0.4,5,12,0.417,8,28,11,2,3,9,13,Georgia State,28,58,0.483,8,24,0.333,13,21,0.619,9,32,16,4,4,9,14
20,1/24/19,,Texas State,L,68,81,26,55,0.473,11,30,0.367,5,9,0.556,5,27,11,2,8,10,10,Georgia State,32,67,0.478,13,29,0.448,4,6,0.667,10,34,18,4,2,8,12
21,1/26/19,,Texas-Arlington,W,77,71,26,58,0.448,10,25,0.4,15,20,0.75,7,29,13,8,9,7,12,Georgia State,28,72,0.389,8,27,0.296,7,11,0.636,17,42,16,3,0,14,16
22,2/2/19,,Georgia Southern,W,81,72,30,60,0.5,10,27,0.37,11,17,0.647,4,31,9,6,4,10,20,Georgia State,26,56,0.464,5,19,0.263,15,22,0.682,7,33,11,6,3,15,16
23,2/6/19,@,Louisiana-Monroe,L,76,82,29,61,0.475,11,26,0.423,7,10,0.7,7,27,15,6,5,14,19,Georgia State,26,58,0.448,9,23,0.391,21,24,0.875,9,36,14,6,2,15,12
24,2/8/19,@,Louisiana,L,72,76,25,50,0.5,6,17,0.353,16,25,0.64,4,26,8,4,5,12,22,Georgia State,23,56,0.411,10,27,0.37,20,23,0.87,9,30,13,6,3,12,20
25,2/13/19,,Troy,W,77,63,26,54,0.481,11,27,0.407,14,21,0.667,8,32,14,10,2,13,15,Georgia State,22,55,0.4,9,27,0.333,10,13,0.769,8,30,16,2,5,19,18
26,2/15/19,,South Alabama,W,90,81,29,60,0.483,13,29,0.448,19,28,0.679,8,34,23,10,5,11,14,Georgia State,24,55,0.436,14,32,0.438,19,25,0.76,5,31,21,5,5,18,20
27,2/21/19,@,Appalachian State,W,80,75,29,60,0.483,12,27,0.444,10,12,0.833,4,24,12,8,4,5,15,Georgia State,27,54,0.5,10,25,0.4,11,16,0.688,7,34,12,4,5,15,12
28,2/23/19,@,Coastal Carolina,L,82,95,28,66,0.424,8,28,0.286,18,26,0.692,4,27,10,10,4,9,20,Georgia State,31,70,0.443,14,39,0.359,19,27,0.704,16,50,19,4,2,15,22
29,2/28/19,,Arkansas State,W,76,60,26,56,0.464,14,30,0.467,10,16,0.625,6,27,17,9,2,10,13,Georgia State,21,58,0.362,7,27,0.259,11,13,0.846,14,37,12,6,4,18,13
30,3/2/19,,Little Rock,W,83,70,30,62,0.484,12,29,0.414,11,14,0.786,6,28,17,14,2,12,16,Georgia State,26,56,0.464,9,27,0.333,9,15,0.6,6,29,21,7,1,18,13
31,3/9/19,@,Georgia Southern,W,90,85,31,63,0.492,9,24,0.375,19,29,0.655,12,36,12,7,7,8,22,Georgia State,31,69,0.449,4,18,0.222,19,26,0.731,16,41,9,3,5,13,23
32,3/16/19,N,Texas State,W,59,46,17,53,0.321,6,25,0.24,19,26,0.731,11,41,9,10,6,15,16,Georgia State,13,61,0.213,5,26,0.192,15,16,0.938,12,39,8,6,5,15,21
33,3/17/19,N,Texas-Arlington,W,73,64,20,50,0.4,8,22,0.364,25,34,0.735,4,33,8,4,5,10,18,Georgia State,23,64,0.359,7,33,0.212,11,17,0.647,12,38,12,5,2,13,24
