G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/9/18,,Albany (NY),W,72,68,25,57,0.439,6,25,0.24,16,25,0.64,8,29,16,12,2,13,16,Iona,21,58,0.362,11,24,0.458,15,16,0.938,12,37,10,0,0,22,20
2,11/13/18,@,New Mexico,L,83,90,24,60,0.4,9,26,0.346,26,36,0.722,9,28,15,12,3,14,29,Iona,27,53,0.509,12,30,0.4,24,38,0.632,8,37,19,7,5,19,22
3,11/19/18,N,Long Beach State,L,85,86,26,60,0.433,10,31,0.323,23,28,0.821,8,25,11,14,2,17,21,Iona,30,54,0.556,10,17,0.588,16,20,0.8,7,33,13,6,2,24,25
4,11/21/18,N,Hartford,W,80,75,28,49,0.571,9,20,0.45,15,24,0.625,3,25,16,6,1,14,20,Iona,27,57,0.474,5,19,0.263,16,21,0.762,8,26,12,6,0,12,19
5,11/24/18,@,Providence,L,79,91,29,57,0.509,6,20,0.3,15,18,0.833,7,30,14,6,0,15,16,Iona,33,67,0.493,9,22,0.409,16,20,0.8,13,32,17,6,5,12,17
6,11/27/18,@,Ohio,L,65,89,21,65,0.323,9,33,0.273,14,24,0.583,10,35,16,9,2,17,21,Iona,35,73,0.479,7,22,0.318,12,18,0.667,15,51,23,6,4,15,20
7,12/1/18,@,VCU,L,59,88,19,51,0.373,4,19,0.211,17,23,0.739,6,32,7,3,3,21,27,Iona,28,66,0.424,11,30,0.367,21,36,0.583,15,41,16,14,7,8,23
8,12/9/18,N,Columbia,L,71,74,25,55,0.455,5,18,0.278,16,20,0.8,8,35,14,8,2,18,16,Iona,26,63,0.413,10,29,0.345,12,13,0.923,6,29,19,7,3,11,16
9,12/15/18,N,Princeton,L,81,85,30,63,0.476,13,29,0.448,8,10,0.8,8,29,14,3,4,13,16,Iona,30,64,0.469,13,34,0.382,12,14,0.857,6,25,19,8,2,10,14
10,12/22/18,@,Yale,L,84,99,29,70,0.414,10,35,0.286,16,22,0.727,6,29,15,9,3,7,21,Iona,38,72,0.528,10,28,0.357,13,23,0.565,17,53,30,2,4,13,16
11,12/30/18,,Holy Cross,L,71,78,28,57,0.491,5,18,0.278,10,17,0.588,9,27,8,4,3,9,15,Iona,29,54,0.537,10,24,0.417,10,13,0.769,7,30,18,5,6,13,17
12,1/3/19,,Monmouth,W,103,84,31,53,0.585,17,31,0.548,24,34,0.706,5,34,18,8,3,12,24,Iona,28,59,0.475,10,22,0.455,18,32,0.563,7,26,12,4,5,10,25
13,1/5/19,,Fairfield,W,94,87,31,64,0.484,10,24,0.417,22,29,0.759,9,34,17,11,0,11,16,Iona,31,64,0.484,16,33,0.485,9,11,0.818,9,35,21,6,3,18,25
14,1/11/19,@,Niagara,L,90,95,35,67,0.522,9,22,0.409,11,17,0.647,3,29,14,12,2,8,18,Iona,36,77,0.468,13,32,0.406,10,13,0.769,16,46,18,3,3,14,17
15,1/13/19,@,Canisius,W,88,70,30,56,0.536,14,26,0.538,14,15,0.933,6,35,17,2,2,16,24,Iona,24,63,0.381,6,31,0.194,16,22,0.727,5,25,15,7,1,10,17
16,1/18/19,,Marist,W,90,77,27,56,0.482,12,31,0.387,24,26,0.923,8,31,14,4,3,9,18,Iona,25,58,0.431,14,32,0.438,13,16,0.813,8,28,15,2,2,14,24
17,1/20/19,@,Monmouth,L,81,83,23,56,0.411,11,33,0.333,24,29,0.828,7,29,16,7,1,13,27,Iona,26,60,0.433,5,18,0.278,26,39,0.667,14,37,17,5,4,11,24
18,1/25/19,,Rider,W,77,71,31,64,0.484,4,21,0.19,11,17,0.647,5,34,14,5,6,13,17,Iona,25,67,0.373,9,27,0.333,12,21,0.571,13,39,15,8,7,11,15
19,1/27/19,@,Fairfield,L,68,80,24,49,0.49,3,14,0.214,17,27,0.63,6,27,6,4,3,19,23,Iona,27,59,0.458,6,19,0.316,20,25,0.8,8,29,12,8,2,11,23
20,1/31/19,@,Marist,L,74,78,24,59,0.407,11,29,0.379,15,18,0.833,11,33,12,5,6,14,16,Iona,25,58,0.431,11,24,0.458,17,22,0.773,10,32,14,6,5,15,20
21,2/2/19,,Siena,L,54,56,18,50,0.36,6,27,0.222,12,19,0.632,10,31,10,3,3,8,9,Iona,21,51,0.412,7,22,0.318,7,10,0.7,5,30,7,4,1,10,15
22,2/8/19,,Quinnipiac,L,65,66,27,67,0.403,5,25,0.2,6,8,0.75,7,28,12,7,6,4,11,Iona,26,59,0.441,6,23,0.261,8,10,0.8,9,41,12,2,3,12,10
23,2/10/19,,Niagara,W,79,76,28,60,0.467,8,25,0.32,15,20,0.75,8,32,14,6,4,10,14,Iona,26,58,0.448,15,28,0.536,9,12,0.75,5,29,12,5,3,16,19
24,2/13/19,@,Siena,W,57,52,21,52,0.404,7,19,0.368,8,11,0.727,7,34,9,8,1,15,9,Iona,21,56,0.375,7,26,0.269,3,5,0.6,7,29,11,11,6,11,10
25,2/15/19,,St. Peter's,W,62,46,23,60,0.383,9,24,0.375,7,8,0.875,10,36,16,8,6,9,11,Iona,18,53,0.34,8,20,0.4,2,7,0.286,6,30,9,2,10,13,10
26,2/19/19,@,Quinnipiac,W,81,77,27,60,0.45,8,28,0.286,19,26,0.731,6,41,15,3,2,9,18,Iona,26,71,0.366,17,49,0.347,8,17,0.471,10,38,13,4,1,6,21
27,2/22/19,@,Manhattan,W,66,52,21,54,0.389,13,32,0.406,11,16,0.688,10,33,10,8,1,11,12,Iona,20,56,0.357,9,32,0.281,3,9,0.333,11,33,12,7,6,13,18
28,2/24/19,,Canisius,W,87,80,27,52,0.519,10,22,0.455,23,24,0.958,8,29,11,4,5,9,10,Iona,31,60,0.517,10,26,0.385,8,12,0.667,7,18,18,4,4,8,20
