G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/8/18,,Maine-Fort Kent,W,89,40,28,57,0.491,12,34,0.353,21,28,0.75,15,45,18,6,8,12,12,Liberty,16,56,0.286,5,21,0.238,3,6,0.5,6,24,6,2,1,13,20
2,11/13/18,,Trevecca Nazarene,W,93,40,35,63,0.556,14,38,0.368,9,15,0.6,3,39,23,14,3,8,9,Liberty,14,51,0.275,5,26,0.192,7,9,0.778,1,27,8,3,0,20,13
3,11/16/18,@,Kent State,W,77,70,29,56,0.518,9,19,0.474,10,13,0.769,6,28,19,7,3,13,24,Liberty,20,49,0.408,4,15,0.267,26,37,0.703,9,27,8,7,4,10,19
4,11/19/18,@,Vanderbilt,L,70,79,27,62,0.435,7,26,0.269,9,16,0.563,5,27,9,8,3,11,21,Liberty,26,52,0.5,9,18,0.5,18,28,0.643,7,34,9,6,4,15,16
5,11/23/18,,Alcorn State,W,76,54,29,53,0.547,8,19,0.421,10,11,0.909,7,25,15,6,2,10,12,Liberty,20,49,0.408,8,15,0.533,6,10,0.6,8,20,6,3,3,14,14
6,11/25/18,,Savannah State,W,82,56,32,70,0.457,8,31,0.258,10,14,0.714,9,40,18,11,1,11,10,Liberty,22,65,0.338,8,37,0.216,4,8,0.5,9,39,9,6,2,21,16
7,11/28/18,@,Navy,W,76,58,26,53,0.491,9,24,0.375,15,18,0.833,5,28,15,8,0,6,16,Liberty,23,55,0.418,4,24,0.167,8,13,0.615,9,31,15,2,2,10,17
8,12/1/18,,Georgia State,W,78,52,27,52,0.519,13,25,0.52,11,14,0.786,9,36,17,6,1,15,16,Liberty,20,50,0.4,2,16,0.125,10,19,0.526,6,19,7,9,3,10,15
9,12/3/18,@,Georgetown,L,78,88,30,71,0.423,13,36,0.361,5,5,1,5,23,16,13,4,10,19,Liberty,29,55,0.527,11,18,0.611,19,29,0.655,11,41,17,5,3,18,10
10,12/11/18,,South Carolina State,W,79,55,28,50,0.56,13,24,0.542,10,16,0.625,2,25,25,9,4,11,16,Liberty,20,51,0.392,4,15,0.267,11,14,0.786,5,23,13,4,5,15,17
11,12/15/18,,Kentucky Christian,W,96,55,40,67,0.597,14,35,0.4,2,3,0.667,8,39,26,6,4,7,8,Liberty,20,57,0.351,8,26,0.308,7,8,0.875,5,24,9,6,1,10,8
12,12/18/18,N,Alabama,L,75,84,25,57,0.439,11,23,0.478,14,17,0.824,6,29,11,2,3,15,27,Liberty,26,50,0.52,7,17,0.412,25,39,0.641,5,28,11,8,6,11,17
13,12/21/18,N,Alabama State,W,73,55,21,35,0.6,9,17,0.529,22,25,0.88,2,28,12,6,4,16,19,Liberty,18,45,0.4,9,19,0.474,10,21,0.476,5,19,10,7,0,17,20
14,12/22/18,N,Austin Peay,L,66,75,24,53,0.453,10,29,0.345,8,8,1,7,25,14,0,0,13,17,Liberty,29,52,0.558,4,13,0.308,13,14,0.929,5,22,6,2,3,5,16
15,12/29/18,@,UCLA,W,73,58,27,58,0.466,8,24,0.333,11,15,0.733,6,25,12,12,0,7,20,Liberty,20,51,0.392,6,22,0.273,12,22,0.545,12,41,14,3,5,24,16
16,1/5/19,@,Florida Gulf Coast,W,81,63,31,54,0.574,14,28,0.5,5,7,0.714,7,27,18,6,4,10,19,Liberty,23,46,0.5,5,13,0.385,12,17,0.706,6,21,11,3,2,14,10
17,1/9/19,@,Stetson,W,71,53,29,54,0.537,10,24,0.417,3,6,0.5,8,29,16,6,3,14,9,Liberty,20,51,0.392,7,20,0.35,6,9,0.667,7,23,14,10,1,13,8
