G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,N,Kansas,L,87,92,26,59,0.441,12,23,0.522,23,35,0.657,5,37,19,5,7,18,25,Michigan State,31,69,0.449,10,23,0.435,20,33,0.606,11,37,21,10,7,11,28
2,11/11/18,,Florida Gulf Coast,W,106,82,41,77,0.532,8,23,0.348,16,23,0.696,19,48,33,10,6,15,22,Michigan State,28,62,0.452,8,19,0.421,18,27,0.667,6,23,22,10,3,14,17
3,11/14/18,,Louisiana-Monroe,W,80,59,28,70,0.4,6,29,0.207,18,22,0.818,15,48,13,7,7,7,18,Michigan State,18,59,0.305,5,19,0.263,18,25,0.72,8,35,6,5,0,8,19
4,11/18/18,,Tennessee Tech,W,101,33,37,67,0.552,14,33,0.424,13,18,0.722,11,38,25,8,5,8,12,Michigan State,15,51,0.294,1,10,0.1,2,9,0.222,4,20,8,6,2,18,22
5,11/22/18,N,UCLA,W,87,67,32,62,0.516,13,24,0.542,10,18,0.556,8,36,20,1,5,12,23,Michigan State,21,59,0.356,5,17,0.294,20,28,0.714,7,30,8,5,6,9,21
6,11/23/18,N,Texas,W,78,68,26,51,0.51,12,20,0.6,14,18,0.778,10,37,17,4,3,22,18,Michigan State,22,64,0.344,9,34,0.265,15,19,0.789,7,20,11,12,6,8,19
7,11/27/18,@,Louisville,L (1 OT),78,82,28,59,0.475,8,20,0.4,14,23,0.609,9,45,15,5,3,15,29,Michigan State,21,53,0.396,10,29,0.345,30,41,0.732,2,28,9,6,4,10,21
8,11/30/18,@,Rutgers,W,78,67,27,58,0.466,5,16,0.313,19,25,0.76,12,37,11,5,3,7,16,Michigan State,24,65,0.369,8,26,0.308,11,16,0.688,12,32,6,3,2,7,19
9,12/3/18,,Iowa,W,90,68,31,60,0.517,3,12,0.25,25,32,0.781,13,39,28,7,6,8,25,Michigan State,21,64,0.328,6,22,0.273,20,30,0.667,14,30,13,7,3,10,23
10,12/8/18,@,Florida,W,63,59,26,51,0.51,4,15,0.267,7,8,0.875,8,32,14,5,3,13,11,Michigan State,23,63,0.365,6,24,0.25,7,12,0.583,14,29,7,7,3,9,12
11,12/16/18,,Green Bay,W,104,83,38,75,0.507,11,28,0.393,17,26,0.654,14,53,31,7,12,14,20,Michigan State,30,74,0.405,12,27,0.444,11,15,0.733,3,29,18,6,4,8,22
12,12/21/18,,Oakland,W,99,69,38,65,0.585,13,30,0.433,10,12,0.833,7,37,27,7,6,7,14,Michigan State,26,65,0.4,13,23,0.565,4,8,0.5,9,28,11,4,1,12,18
13,12/29/18,,Northern Illinois,W,88,60,29,57,0.509,14,29,0.483,16,23,0.696,8,43,25,2,7,14,13,Michigan State,25,75,0.333,6,23,0.261,4,8,0.5,13,35,8,3,0,9,20
14,1/2/19,,Northwestern,W,81,55,34,58,0.586,5,12,0.417,8,15,0.533,8,46,28,4,7,13,18,Michigan State,22,64,0.344,3,18,0.167,8,12,0.667,5,21,16,4,2,8,20
