G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/9/18,@,Clemson,L,51,71,18,55,0.327,4,18,0.222,11,15,0.733,9,32,8,5,1,20,22,NCC,23,49,0.469,10,27,0.37,15,21,0.714,5,28,18,8,7,11,17
2,11/13/18,@,Cincinnati,L,51,73,17,47,0.362,8,17,0.471,9,12,0.75,8,23,12,4,1,14,18,NCC,31,53,0.585,5,14,0.357,6,12,0.5,6,26,19,8,8,11,13
3,11/15/18,@,Bowling Green State,L,60,75,24,57,0.421,10,26,0.385,2,7,0.286,10,35,14,2,2,14,19,NCC,29,57,0.509,6,17,0.353,11,17,0.647,7,32,16,7,0,6,11
4,11/18/18,,Warren Wilson,W,123,57,44,70,0.629,17,28,0.607,18,23,0.783,15,51,34,15,6,18,15,NCC,22,63,0.349,10,35,0.286,3,12,0.25,8,21,14,5,2,22,19
5,11/20/18,@,George Mason,L,63,78,23,45,0.511,3,12,0.25,14,22,0.636,3,22,10,4,2,16,20,NCC,26,51,0.51,7,23,0.304,19,26,0.731,5,24,18,5,2,8,20
6,11/23/18,N,Nicholls State,L,63,77,24,60,0.4,2,17,0.118,13,23,0.565,17,41,8,2,3,15,12,NCC,31,61,0.508,10,25,0.4,5,8,0.625,6,27,15,7,4,9,15
7,11/24/18,N,Southern,W,83,71,26,49,0.531,6,14,0.429,25,30,0.833,11,27,10,6,2,13,17,NCC,27,55,0.491,5,14,0.357,12,16,0.75,10,20,6,4,5,13,21
8,11/28/18,,Christendom,W,110,51,42,72,0.583,5,19,0.263,21,24,0.875,8,34,21,23,4,12,18,NCC,19,44,0.432,8,19,0.421,5,10,0.5,2,23,14,3,1,37,18
9,12/1/18,,McNeese State,W,67,66,25,61,0.41,5,22,0.227,12,15,0.8,9,29,11,5,3,10,18,NCC,25,54,0.463,7,14,0.5,9,15,0.6,11,35,13,1,3,12,16
10,12/8/18,@,Appalachian State,L,73,82,28,58,0.483,5,20,0.25,12,17,0.706,10,34,13,8,1,17,21,NCC,27,59,0.458,7,25,0.28,21,25,0.84,8,30,14,2,5,13,12
11,12/13/18,@,McNeese State,L,61,77,24,56,0.429,9,24,0.375,4,9,0.444,10,26,16,5,1,18,18,NCC,25,51,0.49,2,15,0.133,25,29,0.862,11,35,16,7,1,16,12
12,12/16/18,@,Coastal Carolina,L,65,69,23,51,0.451,8,24,0.333,11,14,0.786,7,27,14,12,2,18,18,NCC,20,46,0.435,8,19,0.421,21,25,0.84,5,22,12,6,4,17,16
13,12/19/18,@,Saint Louis,L,65,74,26,45,0.578,6,13,0.462,7,8,0.875,2,21,20,7,4,24,23,NCC,30,61,0.492,6,15,0.4,8,19,0.421,15,30,20,12,4,18,16
14,12/30/18,,Wilberforce,W,91,44,36,75,0.48,2,22,0.091,17,23,0.739,17,48,21,11,4,12,16,NCC,17,64,0.266,5,24,0.208,5,14,0.357,13,33,9,6,3,24,20
15,1/5/19,,Bethune-Cookman,W,68,59,24,54,0.444,3,17,0.176,17,24,0.708,4,30,15,10,5,14,20,NCC,21,56,0.375,5,18,0.278,12,21,0.571,10,37,5,7,1,21,21
16,1/12/19,@,Maryland-Eastern Shore,W,61,48,21,56,0.375,10,30,0.333,9,11,0.818,11,40,13,2,1,11,18,NCC,17,50,0.34,5,18,0.278,9,14,0.643,5,24,14,3,3,7,13
17,1/14/19,@,Delaware State,W,71,70,27,50,0.54,3,10,0.3,14,19,0.737,9,32,15,1,7,15,16,NCC,26,60,0.433,9,25,0.36,9,11,0.818,4,18,8,5,3,8,19
18,1/19/19,,Coppin State,L,60,64,21,56,0.375,5,17,0.294,13,19,0.684,10,38,13,7,1,20,19,NCC,23,62,0.371,6,24,0.25,12,17,0.706,11,35,7,6,1,13,19
19,1/21/19,,Morgan State,W,92,64,35,66,0.53,12,23,0.522,10,15,0.667,7,42,24,5,3,13,17,NCC,26,64,0.406,2,12,0.167,10,16,0.625,6,28,12,3,4,11,15
20,1/26/19,,North Carolina A&T,L,48,51,20,57,0.351,3,22,0.136,5,7,0.714,13,38,11,6,3,18,13,NCC,18,48,0.375,7,22,0.318,8,10,0.8,3,23,14,6,2,12,9
21,1/28/19,@,Savannah State,W,82,78,30,57,0.526,6,16,0.375,16,26,0.615,9,41,19,5,5,17,13,NCC,28,62,0.452,10,35,0.286,12,16,0.75,4,21,15,12,5,9,21
22,2/2/19,@,Bethune-Cookman,L,64,74,22,65,0.338,1,24,0.042,19,27,0.704,19,45,17,4,3,18,23,NCC,26,59,0.441,3,11,0.273,19,29,0.655,13,38,18,12,7,12,22
23,2/4/19,@,Florida A&M,L,57,73,18,58,0.31,1,19,0.053,20,31,0.645,15,33,4,8,2,12,19,NCC,27,52,0.519,6,16,0.375,13,17,0.765,8,30,11,5,8,15,16
24,2/9/19,,Maryland-Eastern Shore,W,78,53,28,49,0.571,10,19,0.526,12,17,0.706,9,29,19,8,2,10,16,NCC,20,44,0.455,5,12,0.417,8,15,0.533,4,14,14,4,1,9,14
25,2/11/19,,Delaware State,W,87,52,32,64,0.5,10,26,0.385,13,20,0.65,12,43,25,9,3,8,14,NCC,21,67,0.313,4,27,0.148,6,10,0.6,14,35,13,3,8,14,15
26,2/16/19,@,Norfolk State,L (1 OT),71,75,21,59,0.356,8,24,0.333,21,26,0.808,9,41,13,3,3,20,26,NCC,24,59,0.407,10,20,0.5,17,27,0.63,2,31,14,3,6,12,20
