G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/7/18,@,Cincinnati,W,64,56,20,47,0.426,8,20,0.4,16,22,0.727,6,27,7,2,5,13,22,Ohio State,17,62,0.274,6,26,0.231,16,21,0.762,12,31,12,4,7,10,19
2,11/11/18,,Purdue-Fort Wayne,W,107,61,34,56,0.607,15,28,0.536,24,28,0.857,6,35,21,6,5,11,18,Ohio State,22,65,0.338,6,27,0.222,11,17,0.647,10,28,6,3,0,15,21
3,11/15/18,@,Creighton,W,69,60,26,55,0.473,10,21,0.476,7,12,0.583,11,31,15,4,2,13,18,Ohio State,23,52,0.442,9,25,0.36,5,9,0.556,9,27,10,4,4,13,19
4,11/18/18,,South Carolina State,W,89,61,28,51,0.549,7,19,0.368,26,35,0.743,7,37,18,4,3,15,17,Ohio State,23,62,0.371,3,19,0.158,12,14,0.857,10,27,3,4,0,12,29
5,11/20/18,,Samford,W,68,50,23,52,0.442,3,20,0.15,19,28,0.679,7,36,14,4,2,12,13,Ohio State,21,57,0.368,4,15,0.267,4,5,0.8,6,31,7,2,1,15,24
6,11/23/18,,Cleveland State,W,89,62,34,64,0.531,7,19,0.368,14,19,0.737,7,34,17,11,3,12,21,Ohio State,21,60,0.35,6,21,0.286,14,18,0.778,10,34,11,5,4,17,16
7,11/28/18,,Syracuse,L,62,72,15,46,0.326,6,22,0.273,26,35,0.743,8,28,12,5,1,10,17,Ohio State,22,45,0.489,11,24,0.458,17,19,0.895,4,25,13,1,3,12,28
8,12/2/18,,Minnesota,W,79,59,28,60,0.467,7,17,0.412,16,20,0.8,11,39,16,5,1,10,26,Ohio State,20,51,0.392,0,13,0,19,32,0.594,8,30,7,2,4,12,20
9,12/5/18,N,Illinois,W,77,67,24,51,0.471,6,17,0.353,23,32,0.719,9,36,14,8,4,19,22,Ohio State,19,58,0.328,6,19,0.316,23,27,0.852,8,30,10,12,2,13,26
10,12/15/18,,Bucknell,W,73,71,27,56,0.482,6,15,0.4,13,18,0.722,9,39,15,2,3,13,14,Ohio State,23,55,0.418,12,30,0.4,13,18,0.722,5,28,13,6,1,8,20
11,12/18/18,,Youngstown State,W,75,56,26,56,0.464,5,19,0.263,18,23,0.783,8,35,17,5,3,8,13,Ohio State,20,55,0.364,8,20,0.4,8,11,0.727,4,26,8,5,1,10,24
12,12/22/18,N,UCLA,W,80,66,28,67,0.418,8,23,0.348,16,23,0.696,15,39,26,5,7,10,18,Ohio State,25,57,0.439,4,18,0.222,12,17,0.706,8,34,14,8,6,15,20
13,12/29/18,,High Point,W,82,64,30,54,0.556,11,25,0.44,11,22,0.5,5,26,19,5,3,11,14,Ohio State,24,54,0.444,4,13,0.308,12,16,0.75,9,34,11,7,0,16,24
14,1/5/19,,Michigan State,L,77,86,27,62,0.435,7,25,0.28,16,21,0.762,8,26,15,7,0,5,26,Ohio State,25,46,0.543,6,18,0.333,30,37,0.811,6,36,14,4,4,12,20
15,1/9/19,@,Rutgers,L,61,64,23,58,0.397,8,26,0.308,7,11,0.636,10,28,12,7,0,12,18,Ohio State,22,53,0.415,5,16,0.313,15,20,0.75,9,31,10,7,6,9,16
16,1/12/19,@,Iowa,L,62,72,22,59,0.373,10,25,0.4,8,11,0.727,11,36,14,9,1,20,23,Ohio State,25,55,0.455,4,16,0.25,18,25,0.72,9,34,15,11,6,14,15
17,1/18/19,,Maryland,L,61,75,23,59,0.39,6,26,0.231,9,12,0.75,10,26,8,6,0,10,15,Ohio State,25,43,0.581,11,17,0.647,14,16,0.875,4,32,14,8,2,18,15
18,1/23/19,,Purdue,L,67,79,23,44,0.523,10,22,0.455,11,16,0.688,4,23,11,9,1,18,19,Ohio State,23,48,0.479,12,24,0.5,21,25,0.84,8,28,13,8,3,18,17
19,1/26/19,@,Nebraska,W,70,60,24,58,0.414,9,27,0.333,13,18,0.722,12,42,8,8,1,12,14,Ohio State,21,58,0.362,8,22,0.364,10,12,0.833,7,29,10,5,1,11,16
20,1/29/19,@,Michigan,L,49,65,19,52,0.365,5,21,0.238,6,6,1,10,34,10,4,4,18,18,Ohio State,22,54,0.407,10,27,0.37,11,12,0.917,6,27,15,11,3,8,14
21,2/2/19,,Rutgers,W,76,62,27,51,0.529,13,28,0.464,9,13,0.692,4,25,16,5,2,6,16,Ohio State,24,55,0.436,6,19,0.316,8,17,0.471,14,31,14,4,2,12,14
22,2/7/19,,Penn State,W,74,70,22,44,0.5,7,14,0.5,23,29,0.793,3,30,11,5,4,18,21,Ohio State,26,60,0.433,4,14,0.286,14,18,0.778,6,25,8,12,1,10,23
23,2/10/19,@,Indiana,W,55,52,23,52,0.442,7,16,0.438,2,6,0.333,7,29,13,5,4,15,15,Ohio State,21,53,0.396,6,20,0.3,4,7,0.571,6,26,11,8,1,9,12
24,2/14/19,,Illinois,L,56,63,17,47,0.362,2,13,0.154,20,25,0.8,8,33,8,8,1,18,22,Ohio State,24,54,0.444,6,21,0.286,9,17,0.529,8,31,10,7,6,13,23
25,2/17/19,@,Michigan State,L,44,62,18,56,0.321,4,15,0.267,4,9,0.444,7,34,9,7,2,15,18,Ohio State,21,55,0.382,10,26,0.385,10,12,0.833,7,37,17,7,8,10,15
26,2/20/19,,Northwestern,W,63,49,25,54,0.463,4,20,0.2,9,10,0.9,5,34,18,3,4,8,12,Ohio State,18,57,0.316,5,29,0.172,8,12,0.667,8,33,8,4,0,7,15
27,2/23/19,@,Maryland,L,62,72,23,63,0.365,11,33,0.333,5,7,0.714,9,27,14,9,3,7,18,Ohio State,23,47,0.489,6,17,0.353,20,25,0.8,9,36,12,3,5,15,11
28,2/26/19,,Iowa,W,90,70,28,58,0.483,12,32,0.375,22,24,0.917,8,33,19,7,3,10,12,Ohio State,26,55,0.473,6,19,0.316,12,14,0.857,4,25,10,4,1,10,18
29,3/2/19,@,Purdue,L,51,86,16,48,0.333,2,19,0.105,17,25,0.68,7,23,9,5,1,9,18,Ohio State,33,59,0.559,11,21,0.524,9,16,0.563,9,35,17,6,2,8,19
30,3/6/19,@,Northwestern,L,50,68,17,64,0.266,4,26,0.154,12,17,0.706,9,33,8,2,2,9,15,Ohio State,26,58,0.448,5,20,0.25,11,13,0.846,7,35,15,6,7,5,17
31,3/10/19,,Wisconsin,L (1 OT),67,73,25,66,0.379,9,25,0.36,8,15,0.533,7,38,15,5,3,7,22,Ohio State,27,65,0.415,7,21,0.333,12,20,0.6,10,43,13,1,3,8,12
32,3/14/19,N,Indiana,W,79,75,28,62,0.452,8,22,0.364,15,18,0.833,10,36,22,12,4,16,16,Ohio State,27,62,0.435,11,27,0.407,10,15,0.667,9,28,18,9,6,17,18
33,3/15/19,N,Michigan State,L,70,77,24,52,0.462,12,26,0.462,10,10,1,3,20,19,6,1,15,21,Ohio State,26,50,0.52,7,17,0.412,18,21,0.857,5,24,20,8,3,11,16
