G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Portland State,W,84,57,27,50,0.54,4,7,0.571,26,33,0.788,9,35,12,4,8,14,18,Oregon,21,73,0.288,5,35,0.143,10,16,0.625,18,34,8,5,3,11,25
2,11/9/18,,Eastern Washington,W,81,47,30,61,0.492,10,25,0.4,11,17,0.647,12,50,18,4,6,7,6,Oregon,15,65,0.231,13,45,0.289,4,6,0.667,8,29,13,2,2,8,20
3,11/15/18,N,Iowa,L,69,77,23,64,0.359,6,19,0.316,17,24,0.708,12,33,15,8,6,8,24,Oregon,19,52,0.365,10,29,0.345,29,33,0.879,9,41,13,6,3,14,20
4,11/16/18,N,Syracuse,W,80,65,25,50,0.5,7,20,0.35,23,25,0.92,11,32,17,9,7,18,20,Oregon,18,51,0.353,5,28,0.179,24,31,0.774,10,22,12,12,1,16,24
5,11/20/18,,Green Bay,W,83,72,22,47,0.468,6,18,0.333,33,42,0.786,4,40,11,3,7,13,14,Oregon,27,69,0.391,9,29,0.31,9,18,0.5,9,29,13,7,3,7,28
6,11/26/18,,Texas Southern,L,84,89,33,68,0.485,11,31,0.355,7,8,0.875,6,30,22,6,3,12,17,Oregon,32,67,0.478,9,27,0.333,16,22,0.727,10,35,17,4,1,13,10
7,12/1/18,@,Houston,L,61,65,21,53,0.396,6,26,0.231,13,17,0.765,7,32,12,8,3,15,23,Oregon,19,57,0.333,9,35,0.257,18,23,0.783,11,35,14,7,6,12,19
8,12/8/18,,Omaha,W,84,61,33,56,0.589,12,23,0.522,6,8,0.75,10,35,18,5,1,9,13,Oregon,21,50,0.42,12,31,0.387,7,8,0.875,2,13,15,5,1,8,13
9,12/12/18,,San Diego,W,65,55,23,54,0.426,4,15,0.267,15,21,0.714,9,32,14,11,6,8,16,Oregon,20,49,0.408,7,28,0.25,8,11,0.727,7,30,12,1,2,16,22
10,12/15/18,,Boise State,W,66,54,21,43,0.488,4,14,0.286,20,25,0.8,5,33,7,5,3,12,17,Oregon,18,51,0.353,7,16,0.438,11,18,0.611,6,23,5,4,1,10,17
11,12/18/18,,Florida A&M,W,71,64,25,55,0.455,7,25,0.28,14,22,0.636,14,35,15,7,5,15,15,Oregon,24,52,0.462,5,13,0.385,11,16,0.688,3,20,12,7,1,10,18
12,12/21/18,@,Baylor,L,47,57,18,44,0.409,7,18,0.389,4,6,0.667,4,15,12,6,4,16,16,Oregon,21,44,0.477,4,15,0.267,11,18,0.611,9,30,14,7,2,16,14
13,12/29/18,@,Boise State,W,62,50,23,60,0.383,7,24,0.292,9,11,0.818,5,29,9,14,0,7,18,Oregon,15,42,0.357,6,21,0.286,14,20,0.7,7,31,6,4,3,19,16
14,1/5/19,,Oregon State,L,72,77,26,69,0.377,9,27,0.333,11,16,0.688,10,28,11,11,2,10,22,Oregon,26,51,0.51,6,19,0.316,19,21,0.905,5,35,17,4,5,18,16
15,1/10/19,,UCLA,L (1 OT),84,87,31,77,0.403,8,32,0.25,14,24,0.583,15,34,18,13,2,12,24,Oregon,31,60,0.517,8,24,0.333,17,30,0.567,14,46,13,7,4,23,21
16,1/13/19,,USC,W,81,60,29,52,0.558,13,24,0.542,10,16,0.625,7,31,16,5,3,12,20,Oregon,23,54,0.426,5,18,0.278,9,14,0.643,5,22,12,4,3,11,15
