G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,La Salle,W,75,67,22,57,0.386,5,16,0.313,26,36,0.722,14,47,14,6,3,15,20,Temple,22,62,0.355,8,24,0.333,15,18,0.833,4,26,8,7,4,9,27
2,11/9/18,,Detroit,W,83,67,29,62,0.468,11,27,0.407,14,20,0.7,14,34,18,11,2,16,18,Temple,25,52,0.481,9,25,0.36,8,13,0.615,6,21,12,8,2,19,16
3,11/13/18,,Georgia,W,81,77,30,69,0.435,6,20,0.3,15,18,0.833,7,26,11,13,2,10,17,Temple,28,55,0.509,4,10,0.4,17,22,0.773,3,30,15,9,4,17,17
4,11/16/18,,Loyola (MD),W,81,67,31,67,0.463,6,22,0.273,13,16,0.813,8,27,19,10,6,6,14,Temple,24,53,0.453,9,24,0.375,10,12,0.833,7,31,11,5,4,21,14
5,11/19/18,N,VCU,L,51,57,20,62,0.323,4,28,0.143,7,15,0.467,11,33,8,13,1,13,17,Temple,22,48,0.458,6,20,0.3,7,13,0.538,7,32,11,6,3,19,20
6,11/20/18,N,California,W,76,59,31,57,0.544,9,21,0.429,5,10,0.5,5,28,24,10,4,11,18,Temple,21,47,0.447,8,15,0.533,9,18,0.5,2,24,10,4,0,14,15
7,11/27/18,@,Missouri,W,79,77,33,64,0.516,9,26,0.346,4,8,0.5,6,22,18,8,0,5,17,Temple,26,50,0.52,11,19,0.579,14,20,0.7,11,37,11,2,1,15,14
8,12/1/18,@,St. Joseph's,W,77,70,27,68,0.397,6,27,0.222,17,18,0.944,9,39,16,5,2,8,18,Temple,24,61,0.393,7,24,0.292,15,23,0.652,6,31,9,4,3,7,15
9,12/5/18,@,Villanova,L,59,69,23,51,0.451,4,14,0.286,9,12,0.75,5,25,7,4,0,9,20,Temple,21,52,0.404,7,21,0.333,20,25,0.8,10,34,11,3,1,6,12
10,12/12/18,,UMass,W,65,63,23,61,0.377,2,18,0.111,17,21,0.81,9,30,7,11,3,11,16,Temple,25,59,0.424,5,24,0.208,8,10,0.8,8,37,10,3,1,17,17
11,12/15/18,N,Davidson,W (1 OT),77,75,29,63,0.46,12,31,0.387,7,13,0.538,6,30,22,11,2,13,14,Temple,27,57,0.474,13,27,0.481,8,12,0.667,6,31,16,7,3,16,14
12,12/22/18,@,Drexel,W,82,64,32,67,0.478,7,23,0.304,11,14,0.786,7,34,16,8,1,8,14,Temple,24,55,0.436,4,15,0.267,12,19,0.632,6,33,13,2,0,16,14
13,1/2/19,@,UCF,L,73,78,24,53,0.453,13,27,0.481,12,15,0.8,4,19,19,12,3,12,21,Temple,29,48,0.604,4,11,0.364,16,28,0.571,7,28,17,4,3,14,15
14,1/6/19,@,Wichita State,W (1 OT),85,81,31,65,0.477,6,21,0.286,17,28,0.607,7,30,13,12,7,11,19,Temple,31,63,0.492,6,22,0.273,13,17,0.765,9,38,13,5,2,19,19
15,1/9/19,,Houston,W,73,69,21,55,0.382,6,21,0.286,25,28,0.893,7,33,12,7,2,11,16,Temple,24,61,0.393,10,29,0.345,11,17,0.647,10,30,18,6,5,11,18
16,1/12/19,,South Florida,W (1 OT),82,80,25,51,0.49,9,21,0.429,23,28,0.821,2,30,19,9,4,22,22,Temple,30,64,0.469,10,25,0.4,10,25,0.4,10,33,20,17,1,19,25
17,1/16/19,@,East Carolina,W,85,74,28,57,0.491,11,22,0.5,18,25,0.72,6,30,15,9,2,12,11,Temple,27,60,0.45,6,20,0.3,14,22,0.636,7,32,10,8,7,14,18
18,1/19/19,,Penn,L,70,77,30,69,0.435,3,11,0.273,7,9,0.778,12,36,9,7,0,9,14,Temple,28,53,0.528,12,30,0.4,9,12,0.75,3,29,21,5,2,11,12
19,1/24/19,,Memphis,W,85,76,25,56,0.446,10,27,0.37,25,34,0.735,5,29,17,11,2,14,24,Temple,27,68,0.397,1,23,0.043,21,30,0.7,13,42,12,9,2,17,21
20,1/27/19,,Cincinnati,L,68,72,20,48,0.417,9,24,0.375,19,31,0.613,3,20,10,4,0,8,25,Temple,22,55,0.4,3,18,0.167,25,37,0.676,16,46,8,5,3,8,20
21,1/31/19,@,Houston,L,66,73,23,67,0.343,8,27,0.296,12,14,0.857,9,34,9,6,1,8,23,Temple,23,53,0.434,4,18,0.222,23,36,0.639,9,38,8,4,6,11,13
22,2/2/19,@,Tulane,W,75,67,23,55,0.418,8,25,0.32,21,26,0.808,7,34,15,7,3,9,15,Temple,25,67,0.373,9,31,0.29,8,11,0.727,11,33,17,4,0,14,17
23,2/6/19,,UConn,W,81,63,29,55,0.527,11,23,0.478,12,17,0.706,5,26,19,8,2,5,18,Temple,25,62,0.403,4,18,0.222,9,15,0.6,15,39,10,2,1,10,15
24,2/9/19,@,Tulsa,L,58,76,15,49,0.306,10,32,0.313,18,27,0.667,8,29,13,13,2,16,17,Temple,31,56,0.554,8,15,0.533,6,12,0.5,5,33,14,6,1,16,19
25,2/13/19,,SMU,W,82,74,32,75,0.427,7,23,0.304,11,13,0.846,17,38,21,8,1,5,11,Temple,31,70,0.443,6,23,0.261,6,8,0.75,17,41,13,3,3,11,12
26,2/16/19,@,South Florida,W (1 OT),70,69,26,57,0.456,5,15,0.333,13,25,0.52,5,29,12,10,2,13,22,Temple,25,59,0.424,6,25,0.24,13,23,0.565,11,39,11,5,3,15,20
27,2/23/19,,Tulsa,W,84,73,31,61,0.508,10,28,0.357,12,15,0.8,9,30,19,6,3,9,20,Temple,23,55,0.418,7,26,0.269,20,24,0.833,5,25,9,2,0,10,14
28,2/26/19,@,Memphis,L,73,81,26,70,0.371,7,27,0.259,14,21,0.667,17,36,13,10,4,13,20,Temple,28,56,0.5,7,19,0.368,18,25,0.72,10,37,14,6,4,17,17
29,3/3/19,,Tulane,W,80,69,32,68,0.471,7,29,0.241,9,13,0.692,7,32,15,8,4,7,14,Temple,26,69,0.377,9,25,0.36,8,13,0.615,16,43,18,4,3,14,12
30,3/7/19,@,UConn,W,78,71,27,55,0.491,7,12,0.583,17,20,0.85,9,33,10,7,1,10,15,Temple,24,55,0.436,10,29,0.345,13,24,0.542,7,24,10,9,3,11,16
31,3/9/19,,UCF,W,67,62,23,52,0.442,5,18,0.278,16,20,0.8,3,20,13,8,2,11,10,Temple,20,55,0.364,9,25,0.36,13,14,0.929,11,34,12,5,0,18,18
32,3/15/19,N,Wichita State,L,74,80,24,61,0.393,7,20,0.35,19,26,0.731,16,38,10,5,1,15,18,Temple,25,64,0.391,8,24,0.333,22,24,0.917,15,40,14,7,6,14,22
