G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Idaho,W,86,68,34,63,0.54,8,20,0.4,10,13,0.769,14,39,21,5,4,10,11,UC-Irvine,24,55,0.436,12,27,0.444,8,13,0.615,5,21,15,4,2,8,16
2,11/9/18,@,Texas A&M,W,74,73,29,55,0.527,9,21,0.429,7,15,0.467,9,39,16,2,7,14,24,UC-Irvine,24,66,0.364,6,28,0.214,19,26,0.731,16,37,11,7,5,10,19
3,11/12/18,,Life Pacific,W,87,53,29,53,0.547,7,18,0.389,22,35,0.629,15,48,16,12,6,19,19,UC-Irvine,17,56,0.304,8,27,0.296,11,19,0.579,6,21,12,9,1,19,25
4,11/15/18,@,Santa Clara,W,61,49,21,55,0.382,5,16,0.313,14,21,0.667,9,36,13,6,4,15,16,UC-Irvine,16,54,0.296,7,22,0.318,10,14,0.714,6,30,10,6,6,15,23
5,11/19/18,N,UTSA,W,65,56,23,58,0.397,5,16,0.313,14,19,0.737,10,39,9,6,5,14,19,UC-Irvine,18,60,0.3,6,21,0.286,14,18,0.778,6,30,4,7,1,11,17
6,11/20/18,N,Tulane,W,67,55,24,56,0.429,6,17,0.353,13,26,0.5,11,37,15,4,4,11,17,UC-Irvine,20,59,0.339,4,16,0.25,11,16,0.688,8,33,11,2,3,10,22
7,11/21/18,N,Toledo,L,60,67,24,64,0.375,4,19,0.211,8,8,1,11,35,8,8,6,11,14,UC-Irvine,27,62,0.435,6,17,0.353,7,12,0.583,9,32,14,5,1,14,13
8,11/28/18,@,Saint Mary's,W,80,75,29,60,0.483,7,18,0.389,15,19,0.789,8,31,8,5,2,6,21,UC-Irvine,26,52,0.5,5,13,0.385,18,23,0.783,4,28,8,2,2,8,18
9,12/1/18,,Utah State,L,65,89,21,53,0.396,1,14,0.071,22,31,0.71,4,24,7,7,3,10,19,UC-Irvine,31,59,0.525,13,24,0.542,14,19,0.737,9,38,16,4,3,11,22
10,12/5/18,@,California Baptist,W,69,66,23,58,0.397,5,12,0.417,18,25,0.72,9,33,8,10,2,8,19,UC-Irvine,23,57,0.404,8,22,0.364,12,17,0.706,6,32,7,5,3,14,17
11,12/8/18,,Montana,W,60,51,20,49,0.408,6,12,0.5,14,22,0.636,13,31,9,10,5,15,15,UC-Irvine,18,50,0.36,6,22,0.273,9,13,0.692,8,27,8,9,3,17,24
12,12/15/18,,Denver,W,86,52,31,67,0.463,18,35,0.514,6,6,1,10,40,21,4,8,10,16,UC-Irvine,16,56,0.286,4,15,0.267,16,22,0.727,11,33,7,5,4,14,11
13,12/19/18,@,Eastern Michigan,W,52,48,21,62,0.339,6,23,0.261,4,8,0.5,17,43,9,7,4,15,12,UC-Irvine,17,49,0.347,5,19,0.263,9,11,0.818,5,22,5,5,7,11,13
14,12/21/18,@,Butler,L,54,71,18,51,0.353,2,17,0.118,16,21,0.762,8,28,4,7,3,14,20,UC-Irvine,21,51,0.412,9,17,0.529,20,23,0.87,6,31,10,3,3,13,20
15,12/29/18,@,Pacific,L (1 OT),75,84,24,54,0.444,8,21,0.381,19,23,0.826,5,32,9,7,2,19,34,UC-Irvine,23,55,0.418,5,14,0.357,33,43,0.767,8,35,11,7,1,13,20
16,1/3/19,,Texas-Rio Grande Valley,W,85,74,29,52,0.558,11,19,0.579,16,26,0.615,5,36,20,6,6,17,20,UC-Irvine,26,71,0.366,7,19,0.368,15,19,0.789,11,32,11,13,1,11,21
17,1/10/19,,UC-Davis,W (1 OT),71,69,23,58,0.397,4,24,0.167,21,34,0.618,8,38,12,7,5,11,26,UC-Irvine,25,61,0.41,5,16,0.313,14,25,0.56,6,34,10,3,2,12,28
18,1/12/19,@,Cal State Fullerton,W,63,46,25,58,0.431,6,16,0.375,7,8,0.875,6,40,13,6,6,11,17,UC-Irvine,17,54,0.315,0,11,0,12,19,0.632,5,31,3,3,2,12,8
19,1/16/19,,Long Beach State,L,70,80,28,70,0.4,7,25,0.28,7,10,0.7,14,37,16,0,1,10,22,UC-Irvine,27,55,0.491,3,11,0.273,23,27,0.852,6,32,11,4,3,5,12
20,1/19/19,@,Cal State Northridge,W,74,68,24,67,0.358,11,25,0.44,15,22,0.682,22,44,15,4,2,10,17,UC-Irvine,28,60,0.467,9,20,0.45,3,11,0.273,6,25,15,6,6,8,20
21,1/23/19,@,Hawaii,W (1 OT),75,74,30,60,0.5,7,17,0.412,8,19,0.421,9,37,10,3,5,15,23,UC-Irvine,22,57,0.386,11,29,0.379,19,25,0.76,7,30,13,7,3,14,22
22,1/26/19,,UC-Riverside,W,82,64,31,59,0.525,10,18,0.556,10,12,0.833,9,37,19,1,4,6,14,UC-Irvine,22,59,0.373,9,22,0.409,11,13,0.846,9,28,9,3,0,6,11
23,1/31/19,@,UCSB,W (1 OT),66,62,28,61,0.459,4,14,0.286,6,8,0.75,9,41,12,1,7,11,16,UC-Irvine,23,68,0.338,6,22,0.273,10,16,0.625,12,35,14,4,2,7,14
24,2/2/19,@,Long Beach State,W,82,80,33,63,0.524,8,15,0.533,8,14,0.571,8,29,18,9,6,9,20,UC-Irvine,24,56,0.429,8,17,0.471,24,32,0.75,7,31,10,7,4,11,11
25,2/6/19,,Cal State Fullerton,W,60,53,21,50,0.42,7,19,0.368,11,14,0.786,7,35,15,4,3,19,22,UC-Irvine,17,53,0.321,4,14,0.286,15,21,0.714,8,29,4,10,2,17,19
26,2/9/19,,Hawaii,W,67,56,28,60,0.467,8,24,0.333,3,4,0.75,11,39,19,4,3,9,15,UC-Irvine,18,51,0.353,9,20,0.45,11,16,0.688,6,24,11,4,1,8,11
27,2/16/19,,UCSB,W,83,70,29,60,0.483,5,17,0.294,20,24,0.833,11,34,10,9,6,10,19,UC-Irvine,24,59,0.407,7,22,0.318,15,19,0.789,8,24,10,6,2,13,20
28,2/21/19,,Cal Poly,W,74,47,29,52,0.558,6,15,0.4,10,14,0.714,6,37,12,5,2,10,18,UC-Irvine,18,61,0.295,2,16,0.125,9,13,0.692,11,28,5,2,0,9,16
29,2/28/19,@,UC-Davis,W,64,48,22,45,0.489,5,16,0.313,15,21,0.714,8,43,10,4,2,13,19,UC-Irvine,16,53,0.302,3,14,0.214,13,21,0.619,6,20,6,4,1,5,16
30,3/2/19,@,UC-Riverside,W,68,47,26,55,0.473,4,19,0.211,12,17,0.706,10,32,11,9,3,10,15,UC-Irvine,18,45,0.4,6,17,0.353,5,11,0.455,8,26,11,5,2,17,16
31,3/7/19,@,Cal Poly,W,110,72,48,87,0.552,11,24,0.458,3,6,0.5,23,52,25,6,4,4,23,UC-Irvine,24,60,0.4,7,18,0.389,17,27,0.63,6,21,8,1,8,6,10
32,3/9/19,,Cal State Northridge,W,86,74,34,73,0.466,8,26,0.308,10,15,0.667,10,45,16,1,8,5,23,UC-Irvine,27,69,0.391,5,12,0.417,15,24,0.625,10,39,11,3,3,3,18
33,3/14/19,N,UC-Riverside,W,63,44,24,58,0.414,7,22,0.318,8,10,0.8,7,37,13,7,4,4,11,UC-Irvine,17,54,0.315,5,19,0.263,5,11,0.455,8,30,8,3,4,10,9
34,3/15/19,N,Long Beach State,W,75,67,28,57,0.491,2,12,0.167,17,20,0.85,8,33,9,6,5,14,16,UC-Irvine,25,60,0.417,5,19,0.263,12,16,0.75,10,26,7,8,1,13,17
35,3/16/19,N,Cal State Fullerton,W,92,64,34,55,0.618,10,14,0.714,14,18,0.778,8,27,15,7,1,8,16,UC-Irvine,21,51,0.412,5,21,0.238,17,20,0.85,7,21,5,6,2,11,15
