G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Rider,W,84,70,27,59,0.458,5,22,0.227,25,45,0.556,11,44,14,5,10,11,22,UCF,27,69,0.391,7,17,0.412,9,24,0.375,10,35,15,6,1,17,32
2,11/11/18,,Florida Atlantic,L,79,80,28,56,0.5,6,20,0.3,17,26,0.654,9,29,14,5,2,12,19,UCF,28,67,0.418,12,34,0.353,12,18,0.667,15,36,14,6,1,13,27
3,11/15/18,N,Cal State Fullerton,W,68,52,26,60,0.433,4,15,0.267,12,19,0.632,9,39,12,7,5,10,17,UCF,19,55,0.345,4,17,0.235,10,18,0.556,5,25,12,6,4,12,20
4,11/16/18,N,St. Joseph's,W,77,57,32,58,0.552,10,21,0.476,3,4,0.75,9,35,14,8,4,11,13,UCF,21,55,0.382,9,25,0.36,6,13,0.462,8,23,12,6,3,11,9
5,11/18/18,N,Western Kentucky,W,78,62,28,55,0.509,10,20,0.5,12,24,0.5,7,31,20,7,3,11,17,UCF,22,55,0.4,4,12,0.333,14,21,0.667,8,28,15,7,4,15,24
6,11/24/18,,Northern Kentucky,W,66,53,22,50,0.44,5,14,0.357,17,36,0.472,9,48,14,1,5,8,17,UCF,19,59,0.322,8,31,0.258,7,17,0.412,6,30,14,2,3,5,28
7,11/29/18,,Alabama,W,70,64,21,45,0.467,5,15,0.333,23,36,0.639,3,24,12,5,6,9,14,UCF,25,66,0.379,5,24,0.208,9,14,0.643,16,39,14,3,5,14,24
8,12/2/18,@,Missouri,L (1 OT),62,64,19,40,0.475,6,20,0.3,18,23,0.783,7,30,9,5,8,13,18,UCF,23,63,0.365,12,29,0.414,6,11,0.545,15,30,7,6,0,10,21
9,12/8/18,,Grambling,W,70,45,20,49,0.408,8,17,0.471,22,31,0.71,8,39,11,6,7,14,15,UCF,17,58,0.293,3,16,0.188,8,18,0.444,11,29,6,5,3,12,27
10,12/11/18,,Georgia Southern,W,95,88,33,66,0.5,12,27,0.444,17,23,0.739,9,33,18,1,5,11,14,UCF,37,68,0.544,7,16,0.438,7,12,0.583,4,25,17,7,3,9,19
11,12/16/18,,Stetson,W,90,65,29,62,0.468,10,28,0.357,22,31,0.71,8,40,18,4,7,6,15,UCF,23,69,0.333,7,26,0.269,12,16,0.75,10,35,10,6,1,7,24
12,12/21/18,,Illinois State,W,77,56,30,59,0.508,7,18,0.389,10,15,0.667,10,34,14,9,5,8,14,UCF,19,53,0.358,8,28,0.286,10,13,0.769,9,27,14,0,1,16,19
