G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,@,Montana State,W,101,71,34,69,0.493,10,24,0.417,23,26,0.885,14,47,16,5,3,12,29,Utah State,20,53,0.377,10,27,0.37,21,33,0.636,4,22,12,4,4,13,26
2,11/9/18,,Hartford,W,100,73,39,70,0.557,5,12,0.417,17,20,0.85,15,45,21,8,5,15,23,Utah State,24,64,0.375,9,29,0.31,16,20,0.8,9,26,14,5,3,12,21
3,11/13/18,,Mississippi Valley State,W,94,59,29,50,0.58,11,21,0.524,25,31,0.806,6,36,24,7,6,12,14,Utah State,19,61,0.311,10,22,0.455,11,14,0.786,4,24,8,5,1,12,22
4,11/16/18,,Utah Valley,W,65,46,25,69,0.362,4,22,0.182,11,15,0.733,13,43,17,11,7,12,19,Utah State,17,55,0.309,3,13,0.231,9,16,0.563,6,30,6,6,6,17,19
5,11/19/18,N,Saint Mary's,W,80,63,29,59,0.492,6,17,0.353,16,18,0.889,9,40,17,5,8,14,22,Utah State,18,62,0.29,6,24,0.25,21,26,0.808,12,31,8,7,2,11,17
6,11/21/18,N,Arizona State,L,82,87,25,56,0.446,7,23,0.304,25,33,0.758,8,31,15,6,1,17,28,Utah State,26,52,0.5,7,14,0.5,28,42,0.667,6,26,13,8,3,16,27
7,11/28/18,,Northern Iowa,W,71,52,25,50,0.5,5,16,0.313,16,22,0.727,2,37,15,8,3,10,15,Utah State,18,58,0.31,8,30,0.267,8,13,0.615,6,29,12,2,1,11,22
8,12/1/18,@,UC-Irvine,W,89,65,31,59,0.525,13,24,0.542,14,19,0.737,9,38,16,4,3,11,22,Utah State,21,53,0.396,1,14,0.071,22,31,0.71,4,24,7,7,3,10,19
9,12/5/18,@,BYU,L,80,95,29,60,0.483,3,17,0.176,19,24,0.792,11,30,6,8,2,15,20,Utah State,33,59,0.559,11,24,0.458,18,21,0.857,4,22,17,11,4,13,20
10,12/8/18,N,Weber State,W,76,67,28,59,0.475,6,15,0.4,14,22,0.636,6,39,16,7,3,11,20,Utah State,24,61,0.393,6,22,0.273,13,20,0.65,4,30,5,5,5,6,18
11,12/15/18,,Alabama State,W,86,48,30,55,0.545,7,24,0.292,19,28,0.679,8,46,19,12,9,19,25,Utah State,12,58,0.207,4,19,0.211,20,25,0.8,7,29,5,8,3,16,24
12,12/20/18,@,Houston,L,50,60,18,49,0.367,4,20,0.2,10,14,0.714,5,32,8,4,4,17,17,Utah State,20,63,0.317,7,24,0.292,13,15,0.867,11,35,10,8,5,10,17
13,12/28/18,,Eastern Oregon,W,84,57,30,67,0.448,7,24,0.292,17,24,0.708,15,40,21,10,2,13,16,Utah State,20,58,0.345,7,23,0.304,10,13,0.769,10,31,12,8,5,18,21
14,1/2/19,@,Nevada,L,49,72,16,61,0.262,4,23,0.174,11,17,0.647,13,41,8,7,5,20,17,Utah State,24,61,0.393,7,29,0.241,17,20,0.85,9,39,17,15,5,15,16
15,1/5/19,,Air Force,W,79,62,29,52,0.558,11,26,0.423,10,12,0.833,9,37,25,6,5,17,15,Utah State,22,56,0.393,10,28,0.357,8,10,0.8,4,16,14,5,2,9,16
16,1/9/19,,Fresno State,L,77,78,25,49,0.51,6,20,0.3,21,30,0.7,5,33,21,2,9,11,14,Utah State,30,66,0.455,15,31,0.484,3,6,0.5,6,30,14,6,3,10,25
17,1/12/19,@,Wyoming,W,71,55,27,57,0.474,7,24,0.292,10,17,0.588,8,35,13,4,3,7,16,Utah State,20,50,0.4,7,20,0.35,8,13,0.615,1,26,7,2,4,8,15
18,1/16/19,@,San Jose State,W,81,63,28,62,0.452,11,27,0.407,14,15,0.933,9,31,17,13,1,9,14,Utah State,21,47,0.447,12,24,0.5,9,18,0.5,7,29,15,3,2,22,15
19,1/19/19,,Colorado State,W,87,72,32,59,0.542,12,25,0.48,11,14,0.786,10,37,23,6,3,12,20,Utah State,23,51,0.451,10,24,0.417,16,26,0.615,3,19,13,7,2,12,15
20,1/26/19,@,New Mexico,W,68,66,27,55,0.491,9,18,0.5,5,11,0.455,7,31,16,4,3,13,17,Utah State,23,57,0.404,8,23,0.348,12,15,0.8,6,26,11,3,5,11,15
21,1/30/19,,San Jose State,W,103,73,35,72,0.486,11,37,0.297,22,24,0.917,14,37,28,8,6,8,22,Utah State,25,55,0.455,5,14,0.357,18,27,0.667,7,30,16,4,1,15,21
22,2/2/19,,UNLV,W,82,65,30,61,0.492,10,23,0.435,12,22,0.545,9,39,22,5,3,12,22,Utah State,21,57,0.368,9,24,0.375,14,21,0.667,6,28,14,9,4,11,19
23,2/5/19,@,Fresno State,W,82,81,30,55,0.545,12,26,0.462,10,13,0.769,9,30,18,4,5,10,12,Utah State,29,59,0.492,12,27,0.444,11,14,0.786,9,26,11,8,2,10,15
24,2/9/19,@,San Diego State,L,63,68,20,51,0.392,10,24,0.417,13,17,0.765,5,31,12,3,3,12,22,Utah State,22,59,0.373,7,21,0.333,17,21,0.81,12,35,15,5,4,8,17
25,2/13/19,,Wyoming,W,76,59,24,49,0.49,10,20,0.5,18,25,0.72,8,33,21,5,5,11,10,Utah State,21,49,0.429,8,20,0.4,9,12,0.75,1,20,10,6,1,11,21
26,2/16/19,@,Air Force,W,76,62,26,56,0.464,11,30,0.367,13,16,0.813,10,34,14,4,4,14,23,Utah State,21,50,0.42,7,18,0.389,13,19,0.684,4,25,6,2,2,14,18
27,2/20/19,,New Mexico,W,71,55,26,70,0.371,7,27,0.259,12,17,0.706,12,37,21,13,6,8,13,Utah State,20,50,0.4,7,23,0.304,8,12,0.667,6,35,10,5,4,18,19
28,2/23/19,@,Boise State,W (1 OT),78,71,25,58,0.431,9,26,0.346,19,24,0.792,6,38,13,3,1,10,17,Utah State,24,57,0.421,12,25,0.48,11,19,0.579,2,33,12,4,2,10,20
29,2/26/19,,San Diego State,W,70,54,27,63,0.429,4,21,0.19,12,15,0.8,14,43,18,3,5,6,13,Utah State,19,54,0.352,7,15,0.467,9,15,0.6,5,25,10,3,8,10,15
30,3/2/19,,Nevada,W,81,76,24,51,0.471,5,17,0.294,28,37,0.757,5,40,16,6,5,11,26,Utah State,24,66,0.364,6,23,0.261,22,34,0.647,12,38,8,7,4,11,28
31,3/5/19,@,Colorado State,W (1 OT),100,96,39,65,0.6,6,16,0.375,16,25,0.64,9,33,15,3,3,9,18,Utah State,32,64,0.5,12,26,0.462,20,26,0.769,6,29,16,8,4,8,22
32,3/14/19,N,New Mexico,W,91,83,25,47,0.532,6,13,0.462,35,45,0.778,9,41,19,6,7,23,19,Utah State,28,72,0.389,10,29,0.345,17,21,0.81,7,24,18,12,0,10,28
33,3/15/19,N,Fresno State,W,85,60,32,66,0.485,13,31,0.419,8,11,0.727,12,39,23,5,2,8,16,Utah State,23,57,0.404,5,26,0.192,9,11,0.818,4,27,12,4,5,10,10
34,3/16/19,N,San Diego State,W,64,57,21,52,0.404,5,19,0.263,17,24,0.708,9,31,9,6,2,10,16,Utah State,21,63,0.333,7,28,0.25,8,12,0.667,12,31,10,5,4,9,23
