G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,UNC,L,67,78,24,63,0.381,9,35,0.257,10,11,0.909,9,27,8,5,2,9,15,Wofford,29,59,0.492,9,22,0.409,11,15,0.733,10,35,21,5,2,15,13
2,11/10/18,@,High Point,W,68,60,26,55,0.473,12,25,0.48,4,8,0.5,12,30,11,6,4,12,13,Wofford,24,46,0.522,4,13,0.308,8,13,0.615,6,24,12,9,3,13,12
3,11/13/18,,Carver Bible,W,94,35,38,72,0.528,12,26,0.462,6,13,0.462,10,37,21,12,5,7,9,Wofford,13,48,0.271,5,23,0.217,4,8,0.5,4,24,7,4,4,24,12
4,11/18/18,@,Oklahoma,L,64,75,24,64,0.375,10,32,0.313,6,13,0.462,9,34,12,4,2,7,24,Wofford,25,58,0.431,6,18,0.333,19,30,0.633,7,36,11,5,0,7,15
5,11/21/18,,Coppin State,W,99,65,36,69,0.522,14,27,0.519,13,16,0.813,10,44,23,6,1,11,14,Wofford,23,59,0.39,5,25,0.2,14,21,0.667,3,28,11,6,2,10,12
6,11/23/18,,Mars Hill,W,97,46,35,66,0.53,11,28,0.393,16,18,0.889,12,36,18,20,3,11,12,Wofford,18,49,0.367,5,16,0.313,5,10,0.5,7,26,12,5,0,22,16
7,11/26/18,@,South Carolina,W,81,61,31,65,0.477,13,29,0.448,6,12,0.5,10,41,17,7,1,17,22,Wofford,19,57,0.333,7,25,0.28,16,21,0.762,7,35,12,3,3,17,16
8,12/1/18,,ETSU,W,79,62,27,53,0.509,7,22,0.318,18,23,0.783,10,36,16,7,4,15,19,Wofford,21,55,0.382,9,20,0.45,11,22,0.5,8,23,11,6,3,9,17
9,12/4/18,@,Kansas,L,47,72,17,65,0.262,5,26,0.192,8,10,0.8,18,43,5,1,3,18,14,Wofford,31,63,0.492,3,23,0.13,7,10,0.7,6,34,11,9,5,7,11
10,12/6/18,,Kentucky Christian,W,112,58,45,81,0.556,15,36,0.417,7,15,0.467,19,55,27,11,3,6,12,Wofford,22,64,0.344,9,31,0.29,5,7,0.714,3,19,8,3,3,14,13
11,12/9/18,,Coastal Carolina,W,82,71,25,59,0.424,6,28,0.214,26,34,0.765,13,34,10,5,1,5,18,Wofford,23,54,0.426,10,19,0.526,15,20,0.75,8,29,9,2,6,11,25
12,12/15/18,,UNC Asheville,W,92,49,33,59,0.559,13,24,0.542,13,17,0.765,10,34,17,10,5,9,18,Wofford,16,44,0.364,4,12,0.333,13,18,0.722,5,18,8,9,1,17,15
13,12/19/18,@,Mississippi State,L,87,98,31,57,0.544,13,22,0.591,12,14,0.857,5,20,12,3,1,14,25,Wofford,28,49,0.571,14,27,0.519,28,36,0.778,8,25,13,9,9,12,14
14,12/29/18,@,Western Carolina,W,74,54,29,63,0.46,5,19,0.263,11,15,0.733,11,36,13,8,3,7,23,Wofford,17,43,0.395,6,23,0.261,14,21,0.667,4,24,10,3,2,17,18
15,1/3/19,,Citadel,W,112,81,43,64,0.672,15,26,0.577,11,13,0.846,5,31,24,6,3,9,16,Wofford,27,61,0.443,11,32,0.344,16,19,0.842,7,23,14,4,1,14,15
16,1/5/19,,Mercer,W,78,74,29,52,0.558,10,24,0.417,10,14,0.714,8,26,17,6,3,16,16,Wofford,24,45,0.533,7,15,0.467,19,22,0.864,2,15,9,7,1,16,16
17,1/10/19,@,UNC Greensboro,W,72,43,25,52,0.481,10,21,0.476,12,17,0.706,10,35,9,1,3,11,15,Wofford,17,52,0.327,4,19,0.211,5,12,0.417,7,22,4,5,6,9,17
18,1/12/19,@,VMI,W,90,76,35,69,0.507,6,23,0.261,14,23,0.609,11,30,17,11,1,9,16,Wofford,27,52,0.519,11,27,0.407,11,14,0.786,7,32,13,7,1,22,15
19,1/19/19,,Furman,W,59,54,21,54,0.389,8,25,0.32,9,17,0.529,11,34,11,4,3,12,15,Wofford,20,57,0.351,7,27,0.259,7,10,0.7,10,29,12,5,3,10,16
20,1/24/19,,Samford,W (1 OT),107,106,41,74,0.554,17,36,0.472,8,10,0.8,12,26,22,8,3,12,20,Wofford,38,57,0.667,11,15,0.733,19,20,0.95,4,22,21,5,3,17,12
21,1/26/19,,Chattanooga,W,80,69,31,68,0.456,9,21,0.429,9,11,0.818,13,42,15,3,4,7,14,Wofford,25,59,0.424,12,29,0.414,7,9,0.778,5,27,10,5,1,11,14
22,1/31/19,@,Mercer,W,76,67,22,54,0.407,11,24,0.458,21,31,0.677,12,35,10,6,3,7,21,Wofford,23,51,0.451,7,23,0.304,14,24,0.583,9,27,13,3,2,13,19
23,2/2/19,@,Citadel,W,99,61,33,56,0.589,20,33,0.606,13,18,0.722,5,26,23,5,2,8,20,Wofford,22,52,0.423,5,22,0.227,12,17,0.706,8,25,9,4,1,14,17
24,2/7/19,@,ETSU,W (1 OT),78,76,27,54,0.5,11,26,0.423,13,21,0.619,7,32,14,7,5,13,17,Wofford,29,69,0.42,10,23,0.435,8,15,0.533,19,44,18,8,2,9,17
25,2/9/19,,Western Carolina,W,83,56,30,57,0.526,10,23,0.435,13,20,0.65,8,33,13,11,6,10,16,Wofford,18,54,0.333,10,27,0.37,10,12,0.833,4,22,11,4,0,15,16
26,2/14/19,,VMI,W,95,84,32,61,0.525,15,29,0.517,16,23,0.696,5,28,17,6,2,11,17,Wofford,34,59,0.576,9,24,0.375,7,13,0.538,5,26,14,5,1,14,20
27,2/16/19,,UNC Greensboro,W,80,50,27,59,0.458,14,27,0.519,12,17,0.706,12,32,18,9,3,7,15,Wofford,18,50,0.36,4,13,0.308,10,12,0.833,9,27,10,5,2,16,15
28,2/23/19,@,Furman,W,72,64,28,60,0.467,9,30,0.3,7,8,0.875,9,30,13,5,5,6,15,Wofford,24,52,0.462,6,19,0.316,10,14,0.714,6,28,10,3,2,7,12
29,2/28/19,@,Chattanooga,W,80,54,27,58,0.466,11,25,0.44,15,21,0.714,9,34,17,8,2,8,13,Wofford,22,57,0.386,4,26,0.154,6,8,0.75,6,26,8,4,2,12,18
30,3/2/19,@,Samford,W,85,64,32,66,0.485,14,30,0.467,7,8,0.875,11,34,14,7,3,9,20,Wofford,25,60,0.417,1,23,0.043,13,19,0.684,10,32,11,5,5,15,12
31,3/9/19,N,VMI,W,99,72,40,71,0.563,12,31,0.387,7,12,0.583,9,42,20,6,6,10,16,Wofford,28,66,0.424,8,29,0.276,8,12,0.667,4,27,11,6,0,10,13
32,3/10/19,N,ETSU,W,81,72,32,54,0.593,10,18,0.556,7,18,0.389,7,31,15,7,2,17,18,Wofford,22,56,0.393,10,27,0.37,18,25,0.72,8,28,13,9,7,16,18
33,3/11/19,N,UNC Greensboro,W,70,58,21,48,0.438,7,23,0.304,21,24,0.875,4,29,8,6,2,11,19,Wofford,20,53,0.377,3,16,0.188,15,21,0.714,5,23,9,8,1,11,19
