G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/9/18,N,California,W,76,59,25,52,0.481,9,21,0.429,17,25,0.68,6,36,14,7,4,19,29,Yale,18,51,0.353,2,10,0.2,21,32,0.656,7,28,6,6,1,16,17
2,11/17/18,@,Memphis,L (2 OT),102,109,34,70,0.486,12,29,0.414,22,29,0.759,7,35,14,8,3,24,40,Yale,33,72,0.458,6,23,0.261,37,56,0.661,15,42,15,12,4,15,21
3,11/21/18,@,Vermont,L,70,79,27,55,0.491,6,18,0.333,10,13,0.769,6,34,12,2,1,13,18,Yale,27,59,0.458,13,34,0.382,12,17,0.706,6,29,15,8,6,6,15
4,11/28/18,@,Bryant,W,103,61,39,66,0.591,15,24,0.625,10,14,0.714,8,39,29,5,4,15,17,Yale,20,60,0.333,7,31,0.226,14,17,0.824,8,26,6,8,2,19,19
5,12/1/18,N,Miami (FL),W,77,73,30,58,0.517,4,18,0.222,13,17,0.765,4,33,15,7,2,10,15,Yale,26,63,0.413,6,26,0.231,15,18,0.833,6,31,12,5,4,11,16
6,12/5/18,,Lehigh,W,97,87,33,65,0.508,11,31,0.355,20,25,0.8,13,42,21,5,3,12,10,Yale,31,67,0.463,15,32,0.469,10,12,0.833,5,25,24,10,4,11,21
7,12/8/18,@,Duke,L,58,91,23,65,0.354,3,23,0.13,9,11,0.818,9,37,14,9,2,23,23,Yale,33,67,0.493,5,21,0.238,20,31,0.645,13,44,20,16,6,15,14
8,12/11/18,,Albany (NY),W,71,63,29,54,0.537,4,14,0.286,9,22,0.409,7,37,19,4,2,13,16,Yale,23,60,0.383,8,26,0.308,9,13,0.692,5,30,15,6,1,11,19
9,12/20/18,@,Monmouth,W,66,58,23,55,0.418,10,24,0.417,10,18,0.556,12,38,17,4,7,16,16,Yale,21,56,0.375,1,11,0.091,15,22,0.682,11,37,8,7,2,12,18
10,12/22/18,,Iona,W,99,84,38,72,0.528,10,28,0.357,13,23,0.565,17,53,30,2,4,13,16,Yale,29,70,0.414,10,35,0.286,16,22,0.727,6,29,15,9,3,7,21
11,1/2/19,,Kennesaw State,W,92,65,33,61,0.541,9,20,0.45,17,21,0.81,7,41,21,6,5,10,16,Yale,22,66,0.333,8,15,0.533,13,21,0.619,12,34,11,4,2,10,16
12,1/5/19,@,Cal State Northridge,W (1 OT),94,90,34,68,0.5,8,19,0.421,18,29,0.621,11,41,22,4,4,14,24,Yale,30,77,0.39,9,24,0.375,21,31,0.677,15,37,15,9,5,7,24
13,1/8/19,,Skidmore,W,88,59,31,57,0.544,4,14,0.286,22,28,0.786,8,41,21,12,5,11,17,Yale,23,64,0.359,9,28,0.321,4,9,0.444,8,30,14,3,4,15,22
14,1/19/19,@,Brown,W,70,67,29,61,0.475,5,20,0.25,7,11,0.636,9,37,14,9,3,20,14,Yale,28,73,0.384,7,26,0.269,4,4,1,11,36,10,10,4,14,15
15,1/25/19,,Brown,W,79,71,27,62,0.435,10,26,0.385,15,20,0.75,11,46,18,4,9,14,20,Yale,26,66,0.394,7,22,0.318,12,18,0.667,6,33,12,6,4,10,22
16,2/1/19,@,Harvard,L,49,65,18,59,0.305,4,23,0.174,9,11,0.818,4,27,8,7,3,11,13,Yale,24,53,0.453,10,24,0.417,7,9,0.778,5,37,12,4,4,17,13
17,2/2/19,@,Dartmouth,W,89,68,35,65,0.538,11,23,0.478,8,12,0.667,8,32,16,4,4,8,16,Yale,24,59,0.407,5,21,0.238,15,22,0.682,9,27,12,6,5,9,15
18,2/8/19,,Princeton,W,74,60,26,48,0.542,8,20,0.4,14,19,0.737,5,41,11,3,6,19,13,Yale,23,68,0.338,4,22,0.182,10,11,0.909,6,24,9,9,1,10,16
