Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,33,27,6,0.818,-1.3,-8.13,14,4,13,2,10,4,2458,2082,1330,880,1858,0.474,246,637,0.386,452,632,0.715,322,1093,514,288,90,397,619,67.3,109.8,0.34,0.343,0.569,50.9,58.4,12.9,8.1,0.54,15.5,29.4,0.243
2,Air Force,32,14,18,0.438,-3.94,0.58,8,10,9,6,3,9,2179,2294,1300,802,1777,0.451,234,712,0.329,341,503,0.678,253,1077,434,154,57,423,543,67.4,99.5,0.283,0.401,0.54,50.1,54.1,7,5.8,0.517,17.3,23.7,0.192
3,Akron,33,17,16,0.515,5.2,1.42,8,10,14,3,1,10,2271,2107,1325,797,1948,0.409,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,569,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15,25.3,0.195
4,Alabama A&M,32,5,27,0.156,-19.28,-8.44,4,14,4,7,0,18,1938,2285,1295,736,1807,0.407,182,576,0.316,284,453,0.627,314,1025,384,234,49,487,587,67.5,88.7,0.251,0.319,0.479,47,52.2,10.7,4.6,0.458,19.4,27.6,0.157
5,Alabama-Birmingham,34,20,14,0.588,0.85,-1.25,10,8,11,5,6,5,2392,2287,1370,879,1938,0.454,227,675,0.336,407,607,0.671,353,1237,395,215,80,388,559,66.4,105.2,0.313,0.348,0.537,52.6,44.9,9.5,7.5,0.512,14.8,30.4,0.21
6,Alabama State,31,12,19,0.387,-15.69,-7.93,9,9,8,3,3,13,2086,2235,1250,712,1763,0.404,216,674,0.32,446,684,0.652,365,1094,313,203,102,451,565,69.6,96,0.388,0.382,0.5,48.9,44,9.3,9.3,0.465,17.8,30.9,0.253
7,Alabama,33,18,15,0.545,10.27,9.79,8,10,10,5,4,8,2369,2353,1320,827,1876,0.441,233,688,0.339,482,722,0.668,368,1241,401,152,154,449,560,69.9,102.8,0.385,0.367,0.534,52.2,48.5,6.6,11.6,0.503,16.8,31.3,0.257
8,Albany (NY),32,12,20,0.375,-9.21,-6.53,7,9,6,8,6,10,2150,2216,1300,728,1750,0.416,274,790,0.347,420,564,0.745,294,1083,402,195,78,454,566,66.7,99.2,0.322,0.451,0.533,49.8,55.2,9,7.1,0.494,18.4,27.1,0.24
9,Alcorn State,31,10,21,0.323,-22.15,-9.04,6,12,10,3,0,17,1995,2194,1245,709,1721,0.412,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,548,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213
10,American,30,15,15,0.5,-4.02,-7.05,9,9,8,7,6,8,2161,2070,1220,780,1643,0.475,190,583,0.326,411,589,0.698,251,1013,401,221,131,386,520,67.7,104.7,0.358,0.355,0.562,50.4,51.4,10.7,11,0.533,16.7,26.1,0.25
11,Appalachian State,32,11,21,0.344,-3.59,0.24,6,12,9,5,2,12,2557,2539,1290,880,1938,0.454,292,814,0.359,505,706,0.715,310,1126,406,171,89,418,585,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.8,0.529,15.5,26.5,0.261
12,Arizona State NCAA,32,22,10,0.688,10.46,5.71,12,6,13,3,6,5,2490,2338,1300,851,1903,0.447,232,680,0.341,556,829,0.671,389,1283,435,199,103,434,635,72.1,106.2,0.436,0.357,0.542,53.1,51.1,8.5,9.7,0.508,15.9,32.4,0.292
13,Arizona,32,17,15,0.531,8.36,6.36,8,10,12,5,4,7,2269,2205,1290,794,1861,0.427,235,699,0.336,446,620,0.719,324,1116,397,165,73,370,594,68.6,102.6,0.333,0.376,0.526,50.5,50,7.5,6.6,0.49,14.7,28.4,0.24
14,Little Rock,31,10,21,0.323,-4.64,-1.85,5,13,7,9,3,12,2301,2353,1250,817,1687,0.484,206,581,0.355,461,703,0.656,244,1060,443,169,87,503,622,72.7,101.2,0.417,0.344,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.51,-8.25,10,8,8,2,4,17,2108,2269,1300,719,1685,0.427,194,574,0.338,476,702,0.678,317,1063,365,216,108,478,629,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.4,0.484,19.1,29.1,0.282
